the_version,non_the_version,the_count,non_the_count
The Coalition of California Insurance Professionals (CCIP),Coalition of California Insurance Professionals (CCIP),1,12
"The Estate Planning, Trust and Probate Law Section of the State","Estate Planning, Trust and Probate Law Section of the State",1,12
The Five Branches University,Five Branches University,1,12
The Great Valley Center,Great Valley Center,1,12
The Human,Human,1,12
The Humboldt Food Policy Council,Humboldt Food Policy Council,1,12
The Information Technology Association of America (ITAA),Information Technology Association of America (ITAA),1,12
The Institute For College Access & Success,Institute for College Access & Success,1,12
The Kinship Center,Kinship Center,1,12
The Lambda,Lambda,1,12
The Little,Little,1,12
The Lutheran Office of Public,Lutheran Office of Public,1,12
The Lyme Disease Resource Center,Lyme Disease Resource Center,1,12
The Mexican-American Political Association,Mexican-American Political Association,1,12
The National Coalition Against Gambling Expansion,National Coalition Against Gambling Expansion,1,12
The Office of Homeland Security,Office of Homeland Security,1,12
The School for Integrated Academics and Technologies (SIATech),School for Integrated Academics and Technologies (SIATech),1,12
The Spectrum Institute,Spectrum Institute,1,12
The State Bar Business Law Section,State Bar Business Law Section,1,12
The United Way of San Diego County,United Way of San Diego County,1,12
the American College of Obstetricians,American College of Obstetricians,1,12
the Mexican American Legal Defense and Education,Mexican American Legal Defense and Education,1,12
The ALS Association,Als Association,11,1
The Children's Network of Solano County,Children's Network Of Solano County,11,1
The Farmers Guild,Farmers Guild,11,1
The Inkwell Theater,Inkwell Theater,11,1
The Learning Choice Academy,Learning Choice Academy,11,1
The International Bengal Cat Society,International Bengal Cat Society,10,2
The Justice & Diversity Center,Justice & Diversity Center,9,3
The Ark Trust,Ark Trust,8,4
The Greenlining Coalition,Greenlining Coalition,8,4
"The Permanente Medical Group, Inc","Permanente Medical Group, Inc",8,4
The Wonderful Company,Wonderful Company,8,4
The Authors Guild,Authors Guild,7,5
The Episcopal Home Communities,Episcopal Home Communities,7,5
The First Unitarian Universalist Society of San Francisco,First Unitarian Universalist Society of San Francisco,7,5
The LINKUP,LINKUP,7,5
The Five Gyres Institute,Five Gyres Institute,6,6
"The George G. Glenner Alzheimer's Family Centers, Inc","George G. Glenner Alzheimer's Family Centers, Inc",6,6
The McIntyre Company,McIntyre Company,6,6
The Foundation for Taxpayers and Consumer Rights,Foundation for Taxpayers and Consumer Rights,5,7
The Foundation on Economic Trends,Foundation on Economic Trends,5,7
The Archdiocese of San Francisco,Archdiocese of San Francisco,4,8
The Association of California School Administrators,Association Of California School Administrators,4,8
The Carpet and Rug Institute,Carpet and Rug Institute,4,8
The Environmental Priorities Network,Environmental Priorities Network,4,8
The Good Sam Club,Good Sam Club,4,8
The Governor's Office of the Secretary of Education,Governor's Office of the Secretary of Education,4,8
The Public Interest Law Project (Co-Sponsor),Public Interest Law Project (Co-Sponsor),4,8
The Sweetleaf Collective,Sweetleaf Collective,4,8
The Valley Trauma Center,Valley Trauma Center,4,8
The 100% Campaign: Health Insurance for Every California Child,100% Campaign: Health Insurance for Every California Child,3,9
"The AIDS Project, Los Angeles","Aids Project, Los Angeles",3,9
The American Quarter Horse Association,American Quarter Horse Association,3,9
The California Attorney Generalos Office,California Attorney Generalos Office,3,9
The California League of Independent Notaries,California League of Independent Notaries,3,9
"The California Right to Life Committee, Inc","California Right to Life Committee, INC",3,9
The California State Association of Public,California State Association of Public,3,9
"The State Bar, Business Law Section","State Bar, Business Law Section",3,9
the American Fence Contractors' Association,American Fence Contractors' Association,3,9
The American College of Obstetricians and Gynecologists (ACOG),American College of Obstetricians and Gynecologists (ACOG),2,10
"The American Shooting Sports Council, Inc","American Shooting Sports Council, Inc",2,10
The California Academy of Family,California Academy of Family,2,10
The California Chapter of the American,California Chapter of the American,2,10
The California LGBTQ Health and Human Services Network,California Lgbtq Health and Human Services Network,2,10
The Camino Real Siberian Husky Club,Camino Real Siberian Husky Club,2,10
The Child Abuse Prevention,Child Abuse Prevention,2,10
"The Public Interest Law Project, Oakland","Public Interest Law Project, Oakland",2,10
The United Way of Silicon Valley,United Way of Silicon Valley,2,10
The W. Hayward Burns Institute,W. Hayward Burns Institute,2,10
The Academy of California Adoption Professionals,Academy of California Adoption Professionals,1,11
The Accredited Out-of-State Colleges and Universities in,Accredited Out-of-State Colleges and Universities in,1,11
The American Lung Association in California,American Lung Association In California,1,11
The Animal Shelter Assistance Program,Animal Shelter Assistance Program,1,11
The Associated General,Associated General,1,11
The CSU-Emeritus and Retired Faculty Association,CSU-Emeritus and Retired Faculty Association,1,11
The California Hospital,California Hospital,1,11
The California Independent Oil Marketers Association (CIOMA),California Independent Oil Marketers Association (CIOMA),1,11
The California Infill Federation,California Infill Federation,1,11
The Council on American-Islamic Relations California,Council on American-Islamic Relations California,1,11
The Davis Administration,Davis Administration,1,11
The Debt Collective,Debt Collective,1,11
The Endangered Species Coalition,Endangered Species Coalition,1,11
The Labor Coalition,Labor Coalition,1,11
The Legal Aid Society- Employment Law Center,Legal Aid Society- Employment Law Center,1,11
The Mary Magdalene Project,Mary Magdalene Project,1,11
The Metropolitan,Metropolitan,1,11
The National Consumer Voice for Quality Long-Term Care,National Consumer Voice for Quality Long-Term Care,1,11
The People's Advocate,People's Advocate,1,11
The Scottish Deerhound Club of America,Scottish Deerhound Club of America,1,11
The Tenderloin AIDS Resource Center,Tenderloin AIDS Resource Center,1,11
The Western Mobilehome Parkowners Association (WMA),Western Mobilehome Parkowners Association (WMA),1,11
the Associated Students of UC Davis,Associated Students of UC Davis,1,11
the Bartz-Altadonna Community Health Centers,Bartz-Altadonna Community Health Centers,1,11
the Debt Collective,Debt Collective,1,11
the Salvation Army,Salvation Army,1,11
the Sycuan Band of The Kumeyaay Nation,Sycuan Band of The Kumeyaay Nation,1,11
The American Council for Evangelicals,American Council for Evangelicals,10,1
"The American Federation of State, County and Municipal Employees, AFL-CIO","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",10,1
"The American Shih Tzu Club, Inc","American Shih Tzu Club, Inc",10,1
The Border Terrier Club of the Redwoods,Border Terrier Club of the Redwoods,10,1
The Elizabeth Hospice,Elizabeth Hospice,10,1
The Greater Sacramento Smoke and Tobacco Free Coalition,Greater Sacramento Smoke and Tobacco Free Coalition,10,1
The Law Offices of Dale S. Wilson,Law Offices of Dale S. Wilson,10,1
The Maven Collaborative,Maven Collaborative,10,1
The Open Fist Theatre Company,Open Fist Theatre Company,10,1
The California Alliance for Student Parent Success,California Alliance for Student Parent Success,9,2
The Church of Jesus Christ of Latter-Day Saints,Church of Jesus Christ of Latter-day Saints,9,2
The Corky McMillin Companies,Corky McMillin Companies,9,2
The Glendale City Employees Association,Glendale city Employees Association,9,2
The Health Officers Association of California,Health Officers Association Of California,9,2
The Hood Incubator,Hood Incubator,9,2
The LGBT Asylum Project,LGBT Asylum Project,9,2
The Rural Caucus of the California Democratic Party,Rural Caucus of the California Democratic Party,9,2
The Urban Wildlands Group,Urban Wildlands Group,9,2
The Advocacy Group,Advocacy Group,8,3
The San Diego Foundation,San Diego Foundation,8,3
The Dial Corporation,Dial Corporation,7,4
The Emerald Exchange,Emerald Exchange,7,4
The Kern Audubon Society,Kern Audubon Society,7,4
The Achievable Foundation,Achievable Foundation,6,5
The Black AIDS Institute,Black Aids Institute,6,5
The Joint Custody Association,Joint Custody Association,6,5
the Grow the Richmond,Grow The Richmond,6,5
The Amanda Foundation,Amanda Foundation,5,6
The Global March for Elephants and Rhinos,Global March for Elephants and Rhinos,5,6
The Habematolel Pomo of Upper Lake,Habematolel Pomo Of Upper Lake,5,6
The Harriet Buhai Center for Family Law,Harriet Buhai Center for Family Law,5,6
The Latino Coalition,Latino Coalition,5,6
The Rock Found,Rock Found,5,6
The SPCA of Monterey County,SPCA of Monterey County,5,6
The Wilson Administration,Wilson Administration,5,6
The Community Church,Community Church,4,7
The Financial Counseling Association of America,Financial Counseling Association of America,4,7
"The League of Humane Voters, California Chapter","League of Humane Voters, California Chapter",4,7
The Marshal's Association of California,Marshal's Association of California,4,7
The Rightway Foundation,RightWay Foundation,4,7
The United Methodist Church,United Methodist Church,4,7
"The William S. Graham Foundation for Melanoma Research, Inc","William S. Graham Foundation for Melanoma Research, Inc",4,7
The AVID Center,Avid Center,3,8
The BF Goodrich Company,BF Goodrich Company,3,8
The California Coalition of Accredited Career Schools,California Coalition of Accredited Career Schools,3,8
The Chief Executive Officers of the California Community,Chief Executive Officers of the California Community,3,8
The City of Sacramento,City Of Sacramento,3,8
"The Climate Reality Project, San Diego","Climate Reality Project, San Diego",3,8
The Covello Group,Covello Group,3,8
The Girl Scouts,Girl Scouts,3,8
The International Corporate Accountability Roundtable,International Corporate Accountability Roundtable,3,8
The National Anti-Vivisection Society,National Anti-Vivisection Society,3,8
The National Hockey League,National Hockey League,3,8
The Salvadoran-American Leadership and Educational Fund,Salvadoran-American Leadership and Educational Fund,3,8
The San Elijo Lagoon Conservancy,San Elijo Lagoon Conservancy,3,8
"The AIDs Project, Los Angeles","Aids Project, Los Angeles",2,9
The Association of Woodworking and Furnishing Suppliers,Association of Woodworking and Furnishing Suppliers,2,9
The Attorney General's,Attorney General's,2,9
The Bay,Bay,2,9
The California Optometric Association (COA),California Optometric Association (COA),2,9
The High-Tech Trust Coalition,High-Tech Trust Coalition,2,9
The National Association of Theatre Owners,National Association of Theatre Owners,2,9
The New 49'ers,New 49'ers,2,9
The Procter & Gamble Company,Procter & Gamble Company,2,9
The Vinyl Institute,Vinyl Institute,2,9
the Alameda County Superior Court,Alameda County Superior Court,2,9
"The American College of Obstetricians and Gynecologists, District IX California","American College of Obstetricians and Gynecologists, District IX California",1,10
"The Bureau of Missing Heirs, Inc","Bureau of Missing Heirs, Inc",1,10
The California Association for the Education of Young,California Association for the Education of Young,1,10
The California Association of Clerks and Elections,California Association of Clerks and Elections,1,10
The California Public Utilities,California Public Utilities,1,10
The City of Angels Pomeranian Club,City of Angels Pomeranian Club,1,10
The Coastodian,Coastodian,1,10
The Cooperative Restraining Order Clinic,Cooperative Restraining Order Clinic,1,10
The County Alcohol & Drug Program Administrators Association of California,County Alcohol & Drug Program Administrators Association of California,1,10
The Emergency Food Bank Stockton/San Joaquin,Emergency Food Bank Stockton/San Joaquin,1,10
"The Federation of California Racing Associations, Inc","Federation of California Racing Associations, Inc",1,10
The Internet,Internet,1,10
The Internet Archive,Internet Archive,1,10
The Latino Council,Latino Council,1,10
The Liberty Coalition,Liberty Coalition,1,10
The Los Angeles Municipal Court,Los Angeles Municipal Court,1,10
The Los Angeles Probation Department Union,Los Angeles Probation Department Union,1,10
The Mission,Mission,1,10
The Monterey Bay Psychological Association,Monterey Bay Psychological Association,1,10
The National Board for Professional Teaching Standards,National Board for Professional Teaching Standards,1,10
The San Diego Hunger Advocacy Network,San Diego Hunger Advocacy Network,1,10
The Southern California Whippet Association,Southern California Whippet Association,1,10
The Utility,Utility,1,10
The Weingart East Los Angeles YMCA,Weingart East Los Angeles YMCA,1,10
The Women's Health Collaborative,Women's Health Collaborative,1,10
The Z-Best Products,Z-Best Products,1,10
the Bizfed - Los Angeles County,BizFed - Los Angeles County,1,10
the California Community College Board of Governors,California Community College Board of Governors,1,10
"the Center for Race, Poverty, and The Environment","Center for Race, Poverty, and The Environment",1,10
"the Los Angeles County Deputy Probation Officers Union, AFSCME, Local 685","Los Angeles County Deputy Probation Officers Union, AFSCME, Local 685",1,10
the Orange County Community Foundation,Orange County Community Foundation,1,10
the Trial Courts,Trial Courts,1,10
the W. Hayward Burns Institute,W. Hayward Burns Institute,1,10
The Money Services Round Table,Money Services Round Table,9,1
The New American Theatre,New American Theatre,9,1
The Reverence Project,Reverence Project,9,1
"The Village Project, Inc","Village Project, Inc",9,1
"the Center on Race, Poverty & the Environment","Center On Race, Poverty & the Environment",9,1
The California Chapter of the American College of Emergency Physicians,California Chapter of the American College Of Emergency Physicians,8,2
The Institute for Advanced Study of Human Sexuality,Institute for Advanced Study of Human Sexuality,8,2
The Surfrider Foundation,SurfRider Foundation,8,2
The Union of American Physicians and Dentists,Union Of American Physicians and Dentists,8,2
The National Guard Association of California,National Guard Association Of California,7,3
The West Contra Costa Alcohol Policy Coalition,West Contra Costa Alcohol Policy Coalition,7,3
The Williams Institute,Williams Institute,7,3
the bill,Bill,7,3
The Center for Voting and Democracy,Center for Voting and Democracy,6,4
"The Junior League of San Francisco, Inc","Junior League of San Francisco, Inc",6,4
The Place4Grace,Place4grace,6,4
"The Wilson Group, LLC","Wilson Group, LLC",6,4
The California Conference Board of the Amalgamated Transit Union,California Conference Board Of The Amalgamated Transit Union,5,5
The Foundation for a Smokefree America,Foundation for a Smokefree America,5,5
The Safety Institute,Safety Institute,5,5
The Surplus Lines Association of California,Surplus Lines Association of California,5,5
the San Francisco Bay Area,San Francisco Bay Area,5,5
The Achievement Council,Achievement Council,4,6
"The American College of Obstetricians and Gynecologists, District","American College of Obstetricians and Gynecologists, District",4,6
"The Coalition of Labor, Agriculture and Business","Coalition of Labor, Agriculture and Business",4,6
"The Honorable Dianne Feinstein, United States Senator","Honorable Dianne Feinstein, United States Senator",4,6
The Human Services Network,Human Services Network,4,6
The Young Women's Freedom Center (Co-Sponsor),Young Women's Freedom Center (Co-Sponsor),4,6
the National Association of Counsel for Children,National Association of Counsel for Children,4,6
"The American College of Emergency Physicians, California State","American College of Emergency Physicians, California State",3,7
The California State Council of SHRM,California State Council Of SHRM,3,7
The Coalition of Welfare Rights Organizations,Coalition of Welfare Rights Organizations,3,7
The Nicole Brown Simpson Charitable Foundation,Nicole Brown Simpson Charitable Foundation,3,7
The Southern California Chinese Lawyers Association,Southern California Chinese Lawyers Association,3,7
The Women's Center - Youth & Family Services,Women's Center - Youth & Family Services,3,7
The Yolo Land Trust,Yolo Land Trust,3,7
the Campaign for California Families,Campaign For California Families,3,7
"the United Food and Commercial Workers, Western States Council","United Food And Commercial Workers, Western States Council",3,7
The Brown Boi Project,Brown Boi Project,2,8
The California Family,California Family,2,8
"The Center For Oceanic Awareness, Research, And Education","Center For Oceanic Awareness, Research, And Education",2,8
The Center for HIV Law and Policy,Center for HIV Law and Policy,2,8
The Center of Policy Initiatives,Center of Policy Initiatives,2,8
The Child Abuse Prevention Center (CAP Center),Child Abuse Prevention Center (CAP Center),2,8
The Coalition of California Utility Employees (CUE),Coalition of California Utility Employees (CUE),2,8
The Community Coalition on High Speed Rail,Community Coalition on High Speed Rail,2,8
The Dr. Susan Love Research Foundation,Dr. Susan Love Research Foundation,2,8
The Equal,Equal,2,8
The Fly Fishers of Davis,Fly Fishers of Davis,2,8
The Foundation for Osteoporosis Research and Education,Foundation for Osteoporosis Research and Education,2,8
The Health Consumer Alliance,Health Consumer Alliance,2,8
The Lgbtq Center Long Beach,LGBTQ Center Long Beach,2,8
The National Association of Insurance and Financial,National Association of Insurance and Financial,2,8
The Schwarzenegger Administration,Schwarzenegger Administration,2,8
The Ultimutt Pet Spa in Ojai,Ultimutt Pet Spa in Ojai,2,8
the Children's Fund,Children's Fund,2,8
The American Association of Retired,American Association of Retired,1,9
The American Institute of Architects - California Council,American Institute of Architects - California Council,1,9
The Archaeological Conservancy,Archaeological Conservancy,1,9
The Association of Certified Family Law Specialists (ACFLS),Association of Certified Family Law Specialists (ACFLS),1,9
The California Association of Professional Liability,California Association of Professional Liability,1,9
"The California Association of the Deaf, Inc","California Association of the Deaf, Inc",1,9
The California Mental Health,California Mental Health,1,9
The Center on Reproductive Rights and Justice,Center on Reproductive Rights and Justice,1,9
The City of La Mirada,City of LA Mirada,1,9
The Food Bank of Contra Costa and Solano County,Food Bank of Contra Costa and Solano County,1,9
The Greater Huntington Park Area Chamber of Commerce,Greater Huntington Park Area Chamber of Commerce,1,9
The Health Officers Association of California (HOAC),Health Officers Association of California (HOAC),1,9
"The Honorable John Chiang, California State Controller","Honorable John Chiang, California State Controller",1,9
The Japanese Chamber of Commerce,Japanese Chamber of Commerce,1,9
The Kevin Collins Foundation for Missing Children,Kevin Collins Foundation for Missing Children,1,9
The Orange County Civic Engagement Table,Orange County Civic Engagement Table,1,9
The Pacific Association of Domestic Insurance Companies (PADIC),Pacific Association of Domestic Insurance Companies (PADIC),1,9
The Pasadena Humane Society,Pasadena Humane Society,1,9
The Rescue House,Rescue House,1,9
The Santa Cruz County Breastfeeding Coalition,Santa Cruz County Breastfeeding Coalition,1,9
The Sperantia Foundation,Sperantia Foundation,1,9
The Western Center on Law & Poverty,Western Center On Law & Poverty,1,9
the Archaeological Conservancy,Archaeological Conservancy,1,9
the Bay,Bay,1,9
the Economy,Economy,1,9
the Lake Tahoe Wildlife Care,Lake Tahoe Wildlife Care,1,9
the Long Beach Community College Distict,Long Beach Community College Distict,1,9
the Medical Board,Medical Board,1,9
the The Pew Charitable Trusts,The Pew Charitable Trusts,1,9
The American Academy of Pediatrics,American Academy Of Pediatrics,8,1
The Balloon Council,Balloon Council,8,1
"The California Labor Federation, AFL-CIO","CALIFORNIA LABOR FEDERATION, AFL-CIO",8,1
The California Manufacturers and Technology Association,CALIFORNIA MANUFACTURERS AND TECHNOLOGY ASSOCIATION,8,1
The California Women's Law Center,California Women's law Center,8,1
The Children's Advocacy Institute,CHILDREN'S ADVOCACY INSTITUTE,8,1
The East Cut Community Benefit District,East Cut Community Benefit District,8,1
The Fountain Theatre,Fountain Theatre,8,1
The Fund for,Fund for,8,1
The Lighthouse Group,Lighthouse Group,8,1
The National Federation of Independent Business,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,8,1
The North Coast Stream Flow Coalition,North Coast Stream Flow Coalition,8,1
The Riley Center,Riley Center,8,1
The Western States Council of Sheet Metal Workers,Western States Council OF Sheet Metal Workers,8,1
The Williams Companies,Williams Companies,8,1
The ARC,arc,7,2
The American Council,American Council,7,2
The California State Pipe Trades Council,California State pipe Trades Council,7,2
"The Children's Clinic, Serving Children & Their Families","Children's Clinic, Serving Children & Their Families",7,2
"The Children's Collective, Inc","Children's Collective, Inc",7,2
The Coalition of California Welfare Rights Organizations,Coalition Of California Welfare Rights Organizations,7,2
The Life Settlement Institute,Life Settlement Institute,7,2
The Small Business Connection,Small Business Connection,7,2
The Arc of Riverside County,Arc of Riverside County,6,3
The Farm Mutual Water Company,Farm Mutual Water Company,6,3
The Oakland Institute,Oakland Institute,6,3
The Youth Law Center,Youth law Center,6,3
the Warner Bros. Discovery,Warner Bros. Discovery,6,3
The Art of Yoga Project,Art of Yoga Project,5,4
The California Wind Energy Association (CALWEA),California Wind Energy Association (CalWEA),5,4
The Capitol Corridor,Capitol Corridor,5,4
The Center for Ai and Digital Policy,Center for Ai and Digital Policy,5,4
The Child and Family Guidance Center,Child and Family Guidance Center,5,4
"The Covello Group, Inc","Covello Group, Inc",5,4
The Foundation for Early Childhood Education,Foundation for Early Childhood Education,5,4
The Home Inspectors,Home Inspectors,5,4
The Mechanics Bank,Mechanics Bank,5,4
The PAW Project,PAW Project,5,4
The San Diego Supercomputer Center,San Diego Supercomputer Center,5,4
The State Building and Construction Trades Council,State Building And Construction Trades Council,5,4
"the Directors Guild of America, Inc","Directors Guild of America, INC",5,4
The American Constitution Society Chapter for Santa Clara University School of Law,American Constitution Society Chapter for Santa Clara University School of Law,4,5
The California Commission on Aging,California Commission On Aging,4,5
The California Farm Bureau Federation,California farm Bureau Federation,4,5
The Children's Network,Children's Network,4,5
The City of West Hollywood,City Of West Hollywood,4,5
The Neighborhood House Association,Neighborhood House Association,4,5
The Privacy Rights Clearinghouse (PRC),Privacy Rights Clearinghouse (PRC),4,5
The San Diego Military Advisory Committee,San Diego Military Advisory Committee,4,5
The Sierra Club - Angeles Chapter,Sierra Club - Angeles Chapter,4,5
The Silver Fox,Silver Fox,4,5
The Valley Village Homeowners Association,Valley Village Homeowners Association,4,5
"The Water and Power Associates, Inc","Water and Power Associates, Inc",4,5
The Black Voice News,Black Voice News,3,6
The California League of United Latin American Citizens,California League Of United Latin American Citizens,3,6
The Democracy Collaborative,Democracy Collaborative,3,6
The Greater Oxnard Organization of Democrats,Greater Oxnard Organization of Democrats,3,6
The Latino and Latina Roundtable of the San Gabriel and Pomona Valley,Latino and Latina Roundtable of The San Gabriel and Pomona Valley,3,6
The National Economic Development & Law Center,National Economic Development & Law Center,3,6
The Pasadena Humane Society and SPCA,Pasadena Humane Society and SPCA,3,6
The Bear League,BEAR League,2,7
The California Alliance for Public Safety Communications,California Alliance for Public Safety Communications,2,7
The California Department of Fish and Wildlife,California Department of Fish and Wildlife,2,7
The California Psychological,California Psychological,2,7
The Cronos Group,Cronos Group,2,7
The Fair Lending Alliance,Fair Lending Alliance,2,7
The Foundation for Allied Dental Education,Foundation for Allied Dental Education,2,7
The Franchise of Americans Needing Sports,Franchise of Americans Needing Sports,2,7
The Golden 1 Credit Union,Golden 1 Credit Union,2,7
The Grandparent Autism Network,Grandparent Autism Network,2,7
The Klaas Foundation for Children,Klaas Foundation for Children,2,7
The National Center for Law and Policy,National Center for Law and Policy,2,7
The Oceans Conservancy,Oceans Conservancy,2,7
The Office of Governor Gray Davis,Office of Governor Gray Davis,2,7
The Parsons Corporation,Parsons Corporation,2,7
The Pro-Family Law Center,Pro-Family Law Center,2,7
The RightWay Foundation,RightWay Foundation,2,7
The Woodstock Institute,Woodstock Institute,2,7
the U.S,U.S,2,7
The American College of Obstetricians and Gynecologist,American College of Obstetricians and Gynecologist,1,8
The American Fox Terrier Club,American Fox Terrier Club,1,8
The American Occupational Therapy Association,American Occupational Therapy Association,1,8
The Association of Municipal Court Clerks of California,Association of Municipal Court Clerks of California,1,8
The Bakersfield ARC,Bakersfield ARC,1,8
The Black Property Owners Association,Black Property Owners Association,1,8
The California Association of Medical Laboratory Technology,California Association of Medical Laboratory Technology,1,8
The California Coalition for Youth,California Coalition For Youth,1,8
The California Conference Board of Amalgamated,California Conference Board of Amalgamated,1,8
The California County Superintendents Educational,California County Superintendents Educational,1,8
The California Judgment Preservation Alliance,California Judgment Preservation Alliance,1,8
The California Psychiatric Association (CPA),California Psychiatric Association (CPA),1,8
The California State Board of Guide Dogs for the Blind,California State Board of Guide Dogs for the Blind,1,8
The California State Horseman's Association,California State Horseman's Association,1,8
"The Center For Oceanic Awareness, Research, and Education","Center For Oceanic Awareness, Research, And Education",1,8
The Coalition For Renewable Natural Gas,Coalition For Renewable Natural Gas,1,8
The Community Associations Institute (CAI),Community Associations Institute (CAI),1,8
The English Setter Club of New England,English Setter Club of New England,1,8
The Farmworker Institute for Education and Leadership,Farmworker Institute for Education and Leadership,1,8
"The Federation of Hillside and Canyon Associations, INC","Federation of Hillside and Canyon Associations, Inc",1,8
The Financial Planning Association,Financial Planning Association,1,8
The Golden Retriever Club of America,Golden Retriever Club of America,1,8
The Guardian Life Insurance Company of America,Guardian Life Insurance Company of America,1,8
The League of Women Voters of Sonoma County,League of Women Voters of Sonoma County,1,8
The Los Angeles Police Protective League (Co-Sponsor),Los Angeles Police Protective League (Co-Sponsor),1,8
The Los Angeles Unified School,Los Angeles Unified School,1,8
The Mar Vista Community Council,Mar Vista Community Council,1,8
The Motion Picture Association of,Motion Picture Association of,1,8
The Renfrew Center for Eating Disorders,Renfrew Center for Eating Disorders,1,8
The San Diego East County Economic Development Council,San Diego East County Economic Development Council,1,8
"The San Diego, Southern California, and Central California Chapters of Associated Builders and Contractors","San Diego, Southern California, and Central California Chapters of Associated Builders and Contractors",1,8
The San Fernando Valley Interfaith Council,San Fernando Valley Interfaith Council,1,8
The Services Employees International Union (SEIU),Services Employees International Union (SEIU),1,8
The Sickle Cell Disease Foundation of California,Sickle Cell Disease Foundation of California,1,8
The Snack Food Association,Snack Food Association,1,8
The South Orange County Democratic Club,South Orange County Democratic Club,1,8
The Sportfishing Conservancy of California,Sportfishing Conservancy of California,1,8
The State Council on Developmental Disabilities (Co-Sponsor),State Council on Developmental Disabilities (Co-Sponsor),1,8
The Urban Counties of California,Urban Counties Of California,1,8
The Vanished Children's Alliance,Vanished Children's Alliance,1,8
The Venice Cookie Co,Venice Cookie Co,1,8
the Association of California School Administrators,Association Of California School Administrators,1,8
the California Conference Board of Amalgamated,California Conference Board of Amalgamated,1,8
the California Psychiatric Association (CPA),California Psychiatric Association (CPA),1,8
the Culturally Responsive Domestic Violence Network,Culturally Responsive Domestic Violence Network,1,8
the Los Angeles Unified School,Los Angeles Unified School,1,8
the Ocean Science Trust,Ocean Science Trust,1,8
The Alliance for Boys and Men of Color,Alliance for Boys and men of Color,7,1
The Automobile Club of Southern California,Automobile Club Of Southern California,7,1
The California Water Association,CALIFORNIA WATER ASSOCIATION,7,1
The Center on Juvenile and Criminal Justice,Center on Juvenile And Criminal Justice,7,1
The Climate Registry,Climate Registry,7,1
The Consumer Federation of California,CONSUMER FEDERATION OF CALIFORNIA,7,1
The Flannery Group,Flannery Group,7,1
The Giving Keys,Giving Keys,7,1
"The Honorable Betty T. Yee, California State Controller","Honorable Betty T. Yee, California State Controller",7,1
The LGBTQ Community Center of the Desert,LGBTQ Community Center of the Desert,7,1
The Latina Center,Latina Center,7,1
The Los Angeles Alliance for a New Economy,Los Angeles Alliance for a new Economy,7,1
The Paparazzi Reform Initiative,PAPARAZZI Reform Initiative,7,1
The Restaurant Opportunity Center of the Bay,Restaurant Opportunity Center of the Bay,7,1
The University of Southern California,University Of Southern California,7,1
the Women's Foundation of California,Women's Foundation Of California,7,1
The Area Agency on Aging Council of California,Area Agency on Aging Council of California,6,2
"The California Sportsmanos Lobby, Inc","California Sportsmanos Lobby, Inc",6,2
The Children's Advocacy Center for Child Abuse Assessment and Treatment,Children's Advocacy Center for Child Abuse Assessment and Treatment,6,2
The Emerald Cup,Emerald Cup,6,2
The Heart Matters Foster Family Agency,Heart Matters Foster Family Agency,6,2
"The Industrial Bank of Japan, Ltd","Industrial Bank of Japan, Ltd",6,2
The Rescue Train,Rescue Train,6,2
The Riley Center of St. Vincent De Paul Society,Riley Center of St. Vincent De Paul Society,6,2
The Brady Campaign to Prevent Gun Violence,BRADY Campaign to Prevent Gun Violence,5,3
The Cannabis Chamber of Commerce,Cannabis Chamber of Commerce,5,3
The Conco Companies,Conco Companies,5,3
The Fund For Animals Inc,Fund for Animals Inc,5,3
The Green Lining Institute,Green Lining Institute,5,3
The Grupe Company,Grupe Company,5,3
The Maritime Museum Association of San Diego,Maritime Museum Association of San Diego,5,3
The Port Costa Conservation Society,Port Costa Conservation Society,5,3
"The Sacramento Central Labor Council, AFL-CIO","Sacramento Central Labor Council, Afl-cio",5,3
The State Council on Developmental Disabilities,State Council On Developmental Disabilities,5,3
The Board of Supervisors of,Board of Supervisors of,4,4
The California Assisted Living Facilities,California Assisted Living Facilities,4,4
The Center for Bioethics and Culture,Center for Bioethics and Culture,4,4
The Coalition Against Domestic and Sexual Violence,Coalition Against Domestic and Sexual Violence,4,4
The Coalition for Adequate School Housing,Coalition For Adequate School Housing,4,4
The Ethnic Coalition of Southern California,Ethnic Coalition of Southern California,4,4
The Lake Bowl Cardroom,Lake Bowl Cardroom,4,4
"The Los Angeles County Federation of Labor, AFL-CIO","Los Angeles County Federation of Labor, Afl-cio",4,4
The People's Senate and Leadership Institute,People's Senate and Leadership Institute,4,4
The Players Club,Players Club,4,4
The Rancho Club,Rancho Club,4,4
The Real Facebook Oversight Board,Real Facebook Oversight Board,4,4
The River District Business Association,River District Business Association,4,4
The Surviving Parents Coalition,Surviving Parents Coalition,4,4
The Woolley Group,Woolley Group,4,4
the United States,United States,4,4
The American Plasma Users Coalition,American Plasma Users Coalition,3,5
The Arc South Bay,Arc South Bay,3,5
The Association for California Tort Reform (ACTR),Association for California Tort Reform (ACTR),3,5
The Birth Equity Advocacy Project,Birth Equity Advocacy Project,3,5
The California Association for Medical Laboratory,California Association for Medical Laboratory,3,5
The Cellular Telecommunications and Internet Association,Cellular Telecommunications and Internet Association,3,5
