conjoined_text,mapped_orgs
"California News Publishers Association, California Black Media, Ethnic Media Services, and Howard Jarvis Taxpayers Association",California News Publishers Association ; California Black Media ; Ethnic Media Services ; Howard Jarvis Taxpayers Association
"California Newspaper Publishers Association (CNPA), AFSCME",California Newspaper Publishers Association (CNPA) ; AFSCME
"California Newspaper Publishers Association California Teachers Association American Federation of State, County and Municipal Employees (AFSCME), AFL- CIO","California Newspaper Publishers Association ; California Teachers Association ; American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO"
California Norml and the Cannabis Consumers' Campaign,California NORML ; Cannabis Consumers' Campaign
California Nurse Association and the Medical Oncology Association of Southern California,California Nurses Association ; Medical Oncology Association of Southern California
California Nurse-Midwives Association and Children Now write,California Nurse-Midwives Association ; Children Now
California Nurses Association (CNA) California Podiatric Medical Association (CPMA),California Nurses Association (CNA) ; California Podiatric Medical Association (CPMA)
California Nurses Association CALPIRG,California Nurses Association ; CALPIRG
California Nurses Association Catholic Charities of California,California Nurses Association ; Catholic Charities of California
"California Nurses Association, Planning and Conservation League, Sierra Club, South Coast",California Nurses Association ; Planning and Conservation League ; Sierra Club ; SOUTH COAST AIR QUALITY MANAGEMENT DISTRICT
"California Oak Foundation, Defenders of Wildlife, Endangered Habitats League, Natural",California Oak Foundation ; Defenders of Wildlife ; Endangered Habitats League ; Natural Resources Defense Council
"California Oil Change Association, DeMenno/Kerdoon, Evergreen Oil, Inc","California Oil Change Association ; DeMenno/Kerdoon ; Evergreen Oil, Inc"
California Organization of Police and California Union of Safety Employees,California Organization of Police ; California Union of Safety Employees
California Orthopaedic Association and California Podiatric Medical Association,California Orthopaedic Association ; California Podiatric Medical Association
California Pan Ethnic Health Network and the California Black Health Network,California Pan-Ethnic Health Network ; California Black Health Network
California Pan-Ethnic Health Network Children Now,California Pan-Ethnic Health Network ; Children Now
California Pan-Ethnic Health Network: California State PTA,California Pan-Ethnic Health Network ; California State PTA
"California Pan-Ethnic Health Network: Consumers Union, Disability Rights California",California Pan-Ethnic Health Network ; Consumers Union ; Disability Rights California
California Pan-Ethnic Health Network: Transgender Law Center,California Pan-Ethnic Health Network ; Transgender Law Center
California Peace Officer's Association and the California Police Chiefs Association,California Peace Officers' Association ; California Police Chiefs Association
California Peace Officeros Association: California Police Chiefs Association,California Peace Officers' Association ; California Police Chiefs Association
California Peace Officers' Association California Police Chiefs Association Lloyd Scharf,California Peace Officers' Association ; California Police Chiefs Association
California Peace Officers' Association and California Police Chiefs Association (parole provisions),California Peace Officers' Association ; California Police Chiefs Association
"California Peace Officers' Association, California Police Chiefs Association, Peace Officers",California Peace Officers' Association ; California Police Chiefs Association ; Peace Officers Research Association of California
California Peace Officers' Police Chiefs' Association,California Peace Officers' Association ; California Police Chiefs' Association
California Peace Officerso Association and California Police Chiefso Association,California Peace Officers' Association ; California Police Chiefs' Association
California Peace Officerso Association and the California Police Chiefso Association (opposition to the formula for distribution of penalty),California Peace Officers' Association ; California Police Chiefs' Association
"California Pip Trades, Council, California Teamsters Public Affairs Council",California Pipe Trades Council ; California Teamsters Public Affairs Council
California Pipetrades Council and the Environmental Defense Fund (EDF),California Pipetrades Council ; Environmental Defense Fund (EDF)
"California Plant Health Association, California Retailers Association",California Plant Health Association ; California Retailers Association
California Podiatric Medical Association and California Orthopaedic Association,California Podiatric Medical Association ; California Orthopaedic Association
California Podiatric Medical AssociationCottage Health,California Podiatric Medical Association ; Cottage Health
California Police Chief's Association California Peace,California Police Chiefs' Association ; California Peace Officers' Association
California Police Chief's Association: City of Inglewood,California Police Chiefs' Association ; City of Inglewood
California Police Chiefs Association Anaheim Police Department Fullerton Police Chief Sacramento Police Chief Ventura Police and Fire Department National Family Legal Foundation and Cities: Anaheim,California Police Chiefs Association ; Anaheim Police Department ; Fullerton Police Chief ; Sacramento Police Chief ; Ventura Police and Fire Department ; National Family Legal Foundation ; City of Anaheim
California Police Chiefs Association Peace Officers Research Association of California,California Police Chiefs Association ; Peace Officers Research Association of California
California Police Chiefs Association and the California State Sheriffs' Association,California Police Chiefs Association ; California State Sheriffs' Association
"California Police Chiefs Association, California State Sheriffs' Association",California Police Chiefs Association ; California State Sheriffs' Association
California Police Chiefs Doris Tate Crime Victims Bureau,California Police Chiefs Association ; Doris Tate Crime Victims Bureau
California Police Chiefs' Association California Rehabilitation Association,California Police Chiefs' Association ; California Rehabilitation Association
California Police Chiefs' Sacramento County Sheriff's Department,California Police Chiefs' Association ; Sacramento County Sheriff's Department
"California Police Officers Association, California Police Chiefs Association, California Trucking",California Police Officers Association ; California Police Chiefs Association ; California Trucking Association
California Police San Joaquin County Board of Supervisors,California Police ; San Joaquin County Board of Supervisors
"California Portland Cement Company, Construction Materials Association of California, Solid Waste Association of North America",California Portland Cement Company ; Construction Materials Association of California ; Solid Waste Association of North America
California Precast Concrete Association California Seed Association,California Precast Concrete Association ; California Seed Association
"California Primary Care Association, City and County of San Francisco",California Primary Care Association ; City and County of San Francisco
"California Primary Care Association, the California Association of Public Hospitals and Health Systems and Los Angeles Care Health Plan",California Primary Care Association ; California Association of Public Hospitals and Health Systems ; Los Angeles Care Health Plan
California Primary Care Association: Children Now,California Primary Care Association ; Children Now
"California Primary Care Association: Congress of California Seniors, March of Dimes",California Primary Care Association ; Congress of California Seniors ; March of Dimes
California Primary Care Association: Seneca Family of Agencies,California Primary Care Association ; Seneca Family of Agencies
"California Pro Life, California Right to Life",California Pro Life ; California Right to Life
"California Probation, Parole and Correctional Association, Crime Victims United of California","California Probation, Parole and Correctional Association ; Crime Victims United of California"
California Producer Handler Association North State Grocery,California Producer Handler Association ; North State Grocery
California Professional Firefighters CDF Firefighters,California Professional Firefighters ; CDF Firefighters
California Professional Firefighters California Labor Federation,California Professional Firefighters ; California Labor Federation
California Professional Firefighters Laborers' International Union of North America,California Professional Firefighters ; Laborers' International Union of North America
California Professional Firefighters United Professional Fire Fighters of Contra Costa County,California Professional Firefighters ; United Professional Fire Fighters of Contra Costa County
California Professional Firefighters and CAL FIRE Local,California Professional Firefighters ; CAL FIRE Local
California Professional Firefighters and County of Los,California Professional Firefighters ; County of Los Angeles
"California Professional Firefighters, California Fire",California Professional Firefighters ; California Fire
"California Professional Firefighters, California Teachers Association, San Francisco Unified School District, Schools for Sound Finance",California Professional Firefighters ; California Teachers Association ; San Francisco Unified School District ; Schools for Sound Finance
"California Professional Firefighters, Health Services Los",California Professional Firefighters ; Los Angeles Department of Health Services
"California Professional Firefighters, Los Angeles","California Professional Firefighters, Los Angeles"
"California Professional Firefighters, Orange County Local",California Professional Firefighters ; Orange County Local
California Psychiatric Association and supported by hospitals,California Psychiatric Association
California Psychiatric Association: 4 Agency on Aging,California Psychiatric Association ; Area 4 Agency on Aging
California Psychological Association American Federation of State,"California Psychological Association ; American Federation of State, County and Municipal Employees (AFSCME)"
California Psychology Association California Public Defenders Association,California Psychology Association ; California Public Defenders Association
"California Public Bank Alliance, Sf Public Bank Coalition, Walksf, Sf Bicycle Coalition, United Educators Sf",California Public Bank Alliance ; SF Public Bank Coalition ; WalkSF ; SF Bicycle Coalition ; United Educators of San Francisco
California Public California Attorneys for Criminal Justice,California Public Defenders Association ; California Attorneys for Criminal Justice
California Public Defenders Association California State Commanders Veterans Council,California Public Defenders Association ; California State Commanders Veterans Council
California Public Defenders Association Organizations from which support was received prior to current version of bill: California Coalition for Women Prisoners,California Public Defenders Association ; California Coalition for Women Prisoners
California Public Defenders Association and Laborers' Local 777,California Public Defenders Association ; Laborers' Local 777
"California Public Defenders Association, California Judges Association",California Public Defenders Association ; California Judges Association
"California Public Defenders Association, Coalition for Effective Public Safety",California Public Defenders Association ; Coalition for Effective Public Safety
"California Public Defenders Association, Council on American Islamic Relations, Oakland Privacy, San Francisco Public Defender, and Smart Justice California",California Public Defenders Association ; Council on American-Islamic Relations ; Oakland Privacy ; San Francisco Public Defender ; Smart Justice California
"California Public Defenders Association, Drug Policy Alliance",California Public Defenders Association ; Drug Policy Alliance
California Public Defenders Criminal Justice,California Public Defenders Association ; California Attorneys for Criminal Justice
California Public Defenders SEIU Local 1000,California Public Defenders Association ; SEIU Local 1000
California Public Defenders and Conference of California Bar,California Public Defenders Association ; Conference of California Bar Associations
"California Public Employees' Retirement System Board of Administration (CalPERS), American Federation of State, County and Municipal Employees (AFSCME), ALF-CIO","California Public Employees' Retirement System Board of Administration (CalPERS) ; American Federation of State, County and Municipal Employees (AFSCME) ; AFL-CIO"
California Public Interest Research Group (CALPIRG) Sierra Club,California Public Interest Research Group (CALPIRG) ; Sierra Club
California Public Interest Research Group (CALPIRG): Congress of California Seniors,California Public Interest Research Group (CALPIRG) ; Congress of California Seniors
California Public Interest Research Group Environment California,California Public Interest Research Group ; Environment California
California Public Interest Research Group Foundation for Taxpayer and Consumer Rights Joseph Holland,California Public Interest Research Group ; Foundation for Taxpayer and Consumer Rights
California Public Interest Research Group: Consumer Federation of California,California Public Interest Research Group ; Consumer Federation of California
California Public Utilities Commission (CPUC) GTE California,California Public Utilities Commission ; GTE California
California Public Utilities Commission Pacific Gas and Electric,California Public Utilities Commission ; Pacific Gas and Electric
"California Railroad Industry (Burlington Northern & Santa Fe Railway Company, California Short Line Railroad Association, Union Pacific Railroad Company)",Burlington Northern & Santa Fe Railway Company ; California Short Line Railroad Association ; Union Pacific Railroad Company
"California Railroad Industry, California Taxpayers Association, Railway Supply Institute, TTX Company",California Railroad Industry ; California Taxpayers Association ; Railway Supply Institute ; TTX Company
"California Rangeland Trust, the California Farmland Trust, the California Climate and Agriculture Network",California Rangeland Trust ; California Farmland Trust ; California Climate and Agriculture Network
"California Redevelopment Association, City of Los Angeles",California Redevelopment Association ; City of Los Angeles
"California Redevelopment Association, League of California Cities",California Redevelopment Association ; League of California Cities
"California Redevelopment Association, League of California Cities, City of Barstow",California Redevelopment Association ; League of California Cities ; City of Barstow
California Refuse Recycling Council |Phippen Bros,California Refuse Recycling Council ; Phippen Bros
"California Refuse Removal Council, East Bay Sanitary Company",California Refuse Removal Council ; East Bay Sanitary Company
California Reinvestment Coalition and the Center for Responsible Lending,California Reinvestment Coalition ; Center for Responsible Lending
California Reinvestment CoalitionCenter for Responsible Lending,California Reinvestment Coalition ; Center for Responsible Lending
"California Relocation Service, Inc. |Paul Hanson Partners","California Relocation Service, Inc. ; Paul Hanson Partners"
California Reproductive Health Association Children Now,California Reproductive Health Association ; Children Now
"California Restaurant Association (sponsor)American Society of Composers, Authors and Publishers","California Restaurant Association ; American Society of Composers, Authors and Publishers"
"California Restaurant Association American Society of Composers, Authors and Publishers","California Restaurant Association ; American Society of Composers, Authors and Publishers"
California Restaurant Association and California Chamber of Commerce,California Restaurant Association ; California Chamber of Commerce
California Restaurant Association: National Consumers League,California Restaurant Association ; National Consumers League
"California Restaurant AssociationAmerican Society of Composers, Authors and Publishers","California Restaurant Association ; American Society of Composers, Authors and Publishers"
"California Retail Air Quality Coalition, California Trucking Association, Raley's",California Retail Air Quality Coalition ; California Trucking Association ; Raley's
California Retailers Association (CRA) and National Association of Chain Drug Stores (NACDS) are,California Retailers Association (CRA) ; National Association of Chain Drug Stores (NACDS)
California Retailers Association (CRA) and the California Grocers Association,California Retailers Association ; California Grocers Association
California Retailers Association (CRA) and the National Association of Chain Drug Stores (NACDA),California Retailers Association ; National Association of Chain Drug Stores
California Retailers Association California State Sheriffs' Association,California Retailers Association ; California State Sheriffs' Association
California Retailers Association NEUTRAL: Department of Alcoholic Beverage Control,California Retailers Association ; Department of Alcoholic Beverage Control
California Retailers Association and the CTIA,California Retailers Association ; CTIA
"California Retailers Association, California Restaurant Association, and California Chamber of Commerce",California Retailers Association ; California Restaurant Association ; California Chamber of Commerce
California Retailers Toy Manufacturers of America,California Retailers Association ; Toy Manufacturers of America
California Rural Legal Assistance Foundation - Sponsor American Federation of State,"California Rural Legal Assistance Foundation ; American Federation of State, County and Municipal Employees (AFSCME)"
California Rural Legal Assistance Foundation ClimatePlan,California Rural Legal Assistance Foundation ; ClimatePlan
California Rural Legal Assistance Foundation and Western Center on Law & Poverty write,California Rural Legal Assistance Foundation ; Western Center on Law & Poverty
"California Rural Legal Assistance Foundation, Governor's Office of Planning and Research, Western Center",California Rural Legal Assistance Foundation ; Governor's Office of Planning and Research ; Western Center on Law & Poverty
"California Rural Legal Assistance Foundation, Jerico, Western Center on Law and Poverty",California Rural Legal Assistance Foundation ; Jerico ; Western Center on Law and Poverty
"California Rural Legal Assistance Foundation, Los Angeles Housing Law Project, Western Center on Law and Poverty",California Rural Legal Assistance Foundation ; Los Angeles Housing Law Project ; Western Center on Law and Poverty
"California Rural Legal Assistance Foundation, Western Center on",California Rural Legal Assistance Foundation ; Western Center on Law and Poverty
California Rural Legal Assistance FoundationCalifornians for Safety and Justice,California Rural Legal Assistance Foundation ; Californians for Safety and Justice
"California Rural Legal Assistance, Health Consumer Center of Imperial Valley",California Rural Legal Assistance ; Health Consumer Center of Imperial Valley
California School Boards Association California School Facilities Consortium California Special District Association,California School Boards Association ; California School Facilities Consortium ; California Special Districts Association
"California School Boards Association, Small School District Association, Sonoma County Office of Education",California School Boards Association ; Small School District Association ; Sonoma County Office of Education
"California School Employees Association, California State Association of Electrical Workers",California School Employees Association ; California State Association of Electrical Workers
"California School Employees Association, California Tax Reform Association",California School Employees Association ; California Tax Reform Association
"California School Employees Association, California Teachers Association",California School Employees Association ; California Teachers Association
"California School Employees Association, Howard Jarvis",California School Employees Association ; Howard Jarvis Taxpayers Association
"California School Employees Association, Howard Jarvis Taxpayers",California School Employees Association ; Howard Jarvis Taxpayers Association
California School Employees Association: California Senior Legislature,California School Employees Association ; California Senior Legislature
California School Employees Association: Long Beach Police Officers Association,California School Employees Association ; Long Beach Police Officers Association
California School Health Centers Association: California WALKS,California School Health Centers Association ; California WALKS
California School Nurses Association American Federation of State,"California School Nurses Association ; American Federation of State, County and Municipal Employees (AFSCME)"
California School Nurses Association NAMI California,California School Nurses Association ; NAMI California
California Sea Urchin Commission and the California Fisheries and Seafood Institute,California Sea Urchin Commission ; California Fisheries and Seafood Institute
California Secretary of State & California Assoc,California Secretary of State ; California Assoc
California Secretary of State & California Assoc. of Museums,California Secretary of State ; California Association of Museums
California Secretary of State Debra |First Unitarian Church of Oakland,California Secretary of State ; First Unitarian Church of Oakland
California Secretary of State Debra |First Unitarian Church of Oakland | |Bowen,California Secretary of State ; First Unitarian Church of Oakland
California Senior Action Network Congress of California Seniors,California Senior Action Network ; Congress of California Seniors
"California Senior Legislature, Sunnyvale Mobile",California Senior Legislature ; Sunnyvale Mobile
California Senior Legislature: Congress of California Seniors,California Senior Legislature ; Congress of California Seniors
"California Sheet Metal and Air Conditioning Contractors, National Association California Chapters of the National Electrical Contractors Association","Sheet Metal and Air Conditioning Contractors, National Association ; California Chapters of the National Electrical Contractors Association"
California Small -Romero Family Winemakers of California,California Small ; Family Winemakers of California
California Small Business Association |National Black Business Council,California Small Business Association ; National Black Business Council
California Small Business Association: Health Net,California Small Business Association ; Health Net
California Small Business Association|Orange County Business Council,California Small Business Association ; Orange County Business Council
"California Society of (Brulte) Accountants, and Personal Insurance Federation",California Society of Accountants ; Personal Insurance Federation of California
California Society of Anesthesiologists Health Net,California Society of Anesthesiologists ; Health Net
California Society of Anesthesiologists Medical Board of California,California Society of Anesthesiologists ; Medical Board of California
California Society of Plastic Surgeons and the California Rheumatology Alliance,California Society of Plastic Surgeons ; California Rheumatology Alliance
California Solar & Storage Association Carbon Free Palo Alto,California Solar & Storage Association ; Carbon Free Palo Alto
"California Solar & Storage Association, Independent Energy Producers Association, Large-scale Solar Association, Solar Energy Industry Association, Sunpower Corporation, Vote Solar",California Solar & Storage Association ; Independent Energy Producers Association ; Large-scale Solar Association ; Solar Energy Industry Association ; Sunpower Corporation ; Vote Solar
California Solar Energy Industries Association Planning and Conservation League Atlantis Energy,California Solar Energy Industries Association ; Planning and Conservation League ; Atlantis Energy
California Solar Energy Industry Association Solar Alliance,California Solar Energy Industry Association ; Solar Alliance
California Spa and Pool Industry Education Council Center for Public Interest Law,California Spa and Pool Industry Education Council ; Center for Public Interest Law
"California Space Authority, Department of the Navy",California Space Authority ; Department of the Navy
California Special Districts Association and County of Los Angeles,California Special Districts Association ; County of Los Angeles
California Special Districts Association and the California State Association of Counties,California Special Districts Association ; California State Association of Counties
"California Special Districts Association, CA Association of Public Cemeteries",California Special Districts Association ; California Association of Public Cemeteries
"California Special Districts Association, California State Association of Counties, Sacramento",California Special Districts Association ; California State Association of Counties
California Special Districts Association. California Manufacturers & Technology Association,California Special Districts Association ; California Manufacturers & Technology Association
California Special Districts Association: Health Access California,California Special Districts Association ; Health Access California
California Sportfishing League and Coastal Conservation Association of California,California Sportfishing League ; Coastal Conservation Association of California
California Sportsman's Lobby Crossroads of the West Gun Shows,California Sportsman's Lobby ; Crossroads of the West Gun Shows
California Sportsman's Lobby and the Outdoor Sportsmen's Coalition of California,California Sportsman's Lobby ; Outdoor Sportsmen's Coalition of California
"California Sportsman's Lobby, Inc., The California State Chapter - National Wild Turkey Federation","California Sportsman's Lobby, Inc. ; National Wild Turkey Federation, California State Chapter"
"California Sportsman's Lobby, Inc., The Outdoor Sportsmen's Coalition of California","California Sportsman's Lobby, Inc. ; Outdoor Sportsmen's Coalition of California"
"California Sportsman's Lobby, The Outdoor Sportsmen's Coalition of California",California Sportsman's Lobby ; Outdoor Sportsmen's Coalition of California
California State Alliance of YMCAs: Camp Ocean Pines,California State Alliance of YMCAs ; Camp Ocean Pines
California State Association of Counties (CSAC) and the County Health Executives Association of California (CHEAC),California State Association of Counties (CSAC) ; County Health Executives Association of California (CHEAC)
"California State Association of Counties (CSAC), Urban Counties Caucus (UCC), the Regional Council of Rural",California State Association of Counties (CSAC) ; Urban Counties Caucus (UCC) ; Regional Council of Rural Counties
California State Association of Counties California State Sheriffs' Association,California State Association of Counties ; California State Sheriffs' Association
California State Association of Counties California Tax Reform Association,California State Association of Counties ; California Tax Reform Association
California State Association of Counties Cities of Buena Park,California State Association of Counties ; City of Buena Park
California State Association of Counties Housing California,California State Association of Counties ; Housing California
California State Association of Counties League of California Cities Urban Counties Caucus Counties of: Alameda,California State Association of Counties ; League of California Cities ; Urban Counties Caucus ; County of Alameda
California State Association of Counties and the County Welfare Directors jointly,California State Association of Counties ; County Welfare Directors Association of California
California State Association of Counties and the Regional,California State Association of Counties ; Regional Council of Rural Counties
California State Association of Counties and the Regional Council of Rural Counties,California State Association of Counties ; Regional Council of Rural Counties
"California State Association of Counties, Alameda County Del Norte County, Los Angeles",California State Association of Counties ; Alameda County ; Del Norte County ; Los Angeles County
"California State Association of Counties, Association of Low Wealth Schools",California State Association of Counties ; Association of Low Wealth Schools
"California State Association of Counties, CRLA Foundation, Western Center on Law & Poverty",California State Association of Counties ; California Rural Legal Assistance Foundation ; Western Center on Law & Poverty
"California State Association of Counties, California Public",California State Association of Counties ; California Public
"California State Association of Counties, California Rural Legal Assistance Foundation, Counties of Santa Barbara, Santa Cruz, League of California Cities",California State Association of Counties ; California Rural Legal Assistance Foundation ; County of Santa Barbara ; County of Santa Cruz ; League of California Cities
"California State Association of Counties, California Rural Legal Assistance Foundation, Counties of Santa Barbara, Santa Cruz, League of California Cities, Sierra Club California",California State Association of Counties ; California Rural Legal Assistance Foundation ; County of Santa Barbara ; County of Santa Cruz ; League of California Cities ; Sierra Club California
"California State Association of Counties, California Special Districts Association",California State Association of Counties ; California Special Districts Association
"California State Association of Counties, City & County of San",California State Association of Counties ; City and County of San Francisco
"California State Association of Counties, City and County of San Francisco, City of Costa Mesa",California State Association of Counties ; City and County of San Francisco ; City of Costa Mesa
"California State Association of Counties, County Recorders Association of California, City and County",California State Association of Counties ; County Recorders Association of California ; City and County
"California State Association of Counties, County of Alpine",California State Association of Counties ; County of Alpine
"California State Association of Counties, County of Los Angeles",California State Association of Counties ; County of Los Angeles
"California State Association of Counties, County of Orange",California State Association of Counties ; County of Orange
"California State Association of Counties, Department of Finance",California State Association of Counties ; Department of Finance
"California State Association of Counties, League of California Cities, Cities of Concord, Hayward, Lafayette, Victorville",California State Association of Counties ; League of California Cities ; City of Concord ; City of Hayward ; City of Lafayette ; City of Victorville
"California State Association of Counties, League of California Cities, Laidlaw Transit Services, Inc., ATC/Vancom","California State Association of Counties ; League of California Cities ; Laidlaw Transit Services, Inc. ; ATC/Vancom"
"California State Association of Counties, League of California Cities, Solid Waste",California State Association of Counties ; League of California Cities ; Solid Waste
"California State Association of Counties, League of California Cities, State Association of County",California State Association of Counties ; League of California Cities ; State Association of County
"California State Association of Counties, League of California Cities, Union of NeedleTrades, Industrial and Textile Employees","California State Association of Counties ; League of California Cities ; Union of NeedleTrades, Industrial and Textile Employees"
"California State Association of Counties, Los Angeles",California State Association of Counties ; County of Los Angeles
"California State Association of Counties, Orange",California State Association of Counties ; County of Orange
"California State Association of Counties, Paul",California State Association of Counties
"California State Association of Counties, Regional Council",California State Association of Counties ; Regional Council of Rural Counties
"California State Association of Counties, Santa",California State Association of Counties ; County of Santa Clara
"California State Association of Counties, Stanislaus",California State Association of Counties ; Stanislaus County
"California State Association of Counties, Stanislaus County",California State Association of Counties ; Stanislaus County
"California State Association of Counties, Urban",California State Association of Counties ; Urban Counties of California
"California State Association of Counties, the County Welfare Directors Association, and the California Mental Health Directors Association",California State Association of Counties ; County Welfare Directors Association of California ; California Mental Health Directors Association
California State Association of Counties/ County Welfare Directors Association of California (CWDA)/ Rural County Representatives of California/ Urban Counties of California,California State Association of Counties ; County Welfare Directors Association of California (CWDA) ; Rural County Representatives of California ; Urban Counties of California
"California State Association of Counties: California Nurses Association, The Dental Health Foundation",California State Association of Counties ; California Nurses Association ; The Dental Health Foundation
California State Association of Counties: Disability Rights California,California State Association of Counties ; Disability Rights California
California State Association of Electrical Workers Genentech,California State Association of Electrical Workers ; Genentech
California State Association of Electrical Workers Office of Ratepayer,California State Association of Electrical Workers ; Office of Ratepayer Advocates
"California State Association of Electrical Workers, the California State Pipe Trades Council, and the Western",California State Association of Electrical Workers ; California State Pipe Trades Council ; Western States Council of Electrical Workers
California State Association of Electrical Workers/California Coalition of Utility Employees,California State Association of Electrical Workers ; Coalition of California Utility Employees
California State Association of Occupational Health Nurses Gloria K. Denton,California State Association of Occupational Health Nurses
California State Auditor and State Controller,California State Auditor ; California State Controller
California State Automobile Association and Auto Club of Southern California,California State Automobile Association ; Auto Club of Southern California
California State Automobile Association and the Automobile,California State Automobile Association ; Automobile Club of Southern California
California State Automobile Association and the Automobile Club of Southern,California State Automobile Association ; Automobile Club of Southern California
California State Automobile Association: Automobile Club of Southern,California State Automobile Association ; Automobile Club of Southern California
California State Automobile Club of Southern California,California State Automobile Club of Southern California
California State Bar Association American Federation of State,"California State Bar Association ; American Federation of State, County and Municipal Employees (AFSCME)"
California State Commanders Veterans Council California Council of Chapters,California State Commanders Veterans Council ; California Council of Chapters
California State Commanders Veterans Council Military Officers Association of America,California State Commanders Veterans Council ; Military Officers Association of America
California State Controller American Federation of State,"California State Controller ; American Federation of State, County and Municipal Employees (AFSCME)"
"California State Controller John |Metropolitan Community Church, |Chiang",California State Controller John Chiang ; Metropolitan Community Church
California State Council California Association of County Veteran Service Officers,California State Council ; California Association of County Veteran Service Officers
California State Council Faculty Association of California Community Colleges American Legion,California State Council ; Faculty Association of California Community Colleges (FACCC) ; American Legion
"California State Council of Carpenters, Coalition of California Utility",California State Council of Carpenters ; Coalition of California Utility Employees
"California State Council of Laborers, California-Nevada Conference of Operating Engineers, Coachella Valley Association of Governments, HNTB, Mobility 21, Riverside County Transportation Commission, Riverside Transit Agency, Self-Help Counties Coalition",California State Council of Laborers ; California-Nevada Conference of Operating Engineers ; Coachella Valley Association of Governments ; HNTB ; Mobility 21 ; Riverside County Transportation Commission ; Riverside Transit Agency ; Self-Help Counties Coalition
California State Employees Assoc. (Sponsor) Consumer Attorneys of California (CAOC),California State Employees Association ; Consumer Attorneys of California (CAOC)
"California State Employees Association, SEIU, Local 1000, Association of State Supervisors","California State Employees Association, SEIU, Local 1000 ; Association of State Supervisors"
California State Firefighters' Association California Professional Firefighters Service Employees International Union (SEIU) California School Employees Association,California State Firefighters' Association ; California Professional Firefighters ; Service Employees International Union (SEIU) ; California School Employees Association
California State Legislative Board California Teamsters Public Affairs Council International Association of Sheet Metal,"California State Legislative Board ; California Teamsters Public Affairs Council ; International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
California State Military Museum American Legion,California State Military Museum ; American Legion
"California State PTA, California Teamsters",California State PTA ; California Teamsters
California State Pipe Trades Council Engineering Contractors Association,California State Pipe Trades Council ; Engineering Contractors Association
"California State Pipe Trades Council, California State Association of Electrical Workers, Western",California State Pipe Trades Council ; California State Association of Electrical Workers ; Western States Council of Electrical Workers
California State Sheriffs Association & California State Association of Psychiatrists,California State Sheriffs' Association ; California State Association of Psychiatrists
California State Sheriffs' AB 1077 (Wesson) Association and the California Police Chiefs Association,California State Sheriffs' Association ; California Police Chiefs Association
California State Sheriffs' Association Butte County,California State Sheriffs' Association ; Butte County
California State Sheriffs' Association California District Attorneys Association,California State Sheriffs' Association ; California District Attorneys Association
California State Sheriffs' Association California National Emergency Number Association,California State Sheriffs' Association ; California National Emergency Number Association
California State Sheriffs' Association and Los Angeles County,California State Sheriffs' Association ; Los Angeles County
California State Sheriffs' Association and the California State,California State Sheriffs' Association ; California State
California State Sheriffs' Tate Crime Victims Bureau,California State Sheriffs' Association ; Doris Tate Crime Victims Bureau
"California State Treasurer Bill Lockyer, California Association of County Treasurers and Tax Collectors",California State Treasurer Bill Lockyer ; California Association of County Treasurers and Tax Collectors
California State University California Teachers Association,California State University ; California Teachers Association
California State University Employees Union/SEIU Local,California State University Employees Union
California State University and the Academic Senate for California Community Colleges,California State University ; Academic Senate for California Community Colleges
"California State University: hotel Power, Inc","California State University ; Power, Inc"
California State and University of California Student Association,California State University Student Association ; University of California Student Association
California State |City of Lathrop |City of Selma,California State ; City of Lathrop ; City of Selma
California State |City of Laverne |City of Soledad,California State ; City of Laverne ; City of Soledad
"California Street Light Association Carlsbad, City of",California Street Light Association ; City of Carlsbad
California Street Medicine Collaborative and University of Southern California,California Street Medicine Collaborative ; University of Southern California
California Tax Reform Association AFSCME,"California Tax Reform Association ; American Federation of State, County and Municipal Employees (AFSCME)"
California Tax Reform Association and SEIU California,California Tax Reform Association ; SEIU California
"California Taxpayers Association , Ernst & Young LLP",California Taxpayers Association ; Ernst & Young LLP
California Taxpayers Association Camarillo Chamber of Commerce,California Taxpayers Association ; Camarillo Chamber of Commerce
California Taxpayers Association Southwest Airlines,California Taxpayers Association ; Southwest Airlines
California Taxpayers Association and the California Association of Health Services at Home,California Taxpayers Association ; California Association for Health Services at Home
"California Taxpayers Association, Business Owners and Managers Association of California, California Beer and Beverage Distributors, California Business Properties Association, California Farm Bureau Federation, Contra Costa Taxpayers Association, Family Business Association of California, Howard Jarvis Taxpayers Association, International Council of Shopping Centers, National Association of Industrial and Office Parks, San Diego County Apartment Association, Western Manufactured Housing Communities Association",California Taxpayers Association ; Business Owners and Managers Association of California ; California Beer and Beverage Distributors ; California Business Properties Association ; California Farm Bureau Federation ; Contra Costa Taxpayers Association ; Family Business Association of California ; Howard Jarvis Taxpayers Association ; International Council of Shopping Centers ; National Association of Industrial and Office Parks ; San Diego County Apartment Association ; Western Manufactured Housing Communities Association
"California Taxpayers Association, Council on State Taxation, Master Limited Partnership Association, Orange County Taxpayers Association, San Gabriel Valley Economic Partnership",California Taxpayers Association ; Council on State Taxation ; Master Limited Partnership Association ; Orange County Taxpayers Association ; San Gabriel Valley Economic Partnership
California Taxpayers' Association Darling International,California Taxpayers Association ; Darling International
California Taxpayers' Association Technet,California Taxpayers Association ; TechNet
