leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
National Association of Social Workers - CA Chapter (NASW-CA),1,National Association of Social Workers - California Chapter,"National Associations of Social Workers, CA Chapter (NASW-CA)",alt(alternate_spelling),98.3,96.7
National Association of Social Workers - CA,1,NATIONAL ASSOCIATION OF SOCIAL WORKERS,"National Association of Social Workers, CA",alt(chapter),98.8,96.5
National Association of Social Workers (NASW) - CA Chapter,1,National Association of Social Workers (NASW) California Chapter,"National Association of Social Workers (NASW), CA Chapter",alt(alternate_spelling),99.1,97.4
"National Association of Social Worker's, California Chapter",1,"National Association of Social Worker, California Chapter",National Association of Social Worker s- California Chapter,alt(alternate_spelling),100.0,96.6
National Association of Social Work - California Chapter,1,"National Association for Social Work, California Chapter","National Association of Social Work, California Chapter",alt(alternate_spelling),99.1,97.3
"National Association of Puerto Rican Hispanic Social: Workers, Inc",1,"National Association of Puerto Rican Hispanic Social Workers, Inc","National Association of Puerto Rican Hispanic Social Workers, Inc",canonical,99.2,99.2
"National Association of Pediatric Nurse Practitioners, San Francisco Bay Area Chapter",1,National Association of Pediatric Nurse Practitioners - San Francisco Bay Area Chapter,National Association of Pediatric Nurse Practitioners - San Francisco Bay Area Chapter,canonical,99.4,98.2
National Association of Pediatric Nurse Practitioners - Los Angeles Chapter,1,"National Association of Pediatric Nurse Practitioners, Los Angeles Chapter","National Association of Pediatric Nurse Practitioners, Los Angeles Chapter",canonical,99.3,98.0
National Association of Locum Tenens Organizations,1,National Association of Locum Tenens Organization,National Association of Locum Tenens Organization,canonical,99.0,99.0
National Association of Latino Elected and Appointed: Officials Educational Fund,1,National Association of Latino Elected and Appointed Officials Educational Fund,National Association of Latino Elected and Appointed Officials Educational Fund,canonical,99.4,99.4
National Association of Latino Elected and Appointed: Officials Education Fund,1,National Association of Latino Elected and Appointed Officials (NALEO) Educational Fund,National Association of Latino Elected and Appointed Officials Education Fund,alt(alternate_spelling),99.4,99.4
National Association of Latino Elected and Appointed Officials: Educational Fund,1,National Association of Latino Elected and Appointed Officials Educational Fund,National Association of Latino Elected and Appointed Officials Educational Fund,canonical,99.4,99.4
National Association of Insurance and Financial Advisors- California,1,National Association of Insurance and Financial Advisors of California (NAIFA-CA),National Association of Insurance and Financial Advisors - California,alt(alternate_spelling),99.3,97.8
National Association of Insurance Financial Advisors - California,1,National Association of Insurance and Financial Advisors of California (NAIFA-CA),National Association of Insurance & Financial Advisors - California,alt(alternate_spelling),98.5,100.0
National Association of Counsel for Children/Los Angeles Affiliate,1,Los Angeles Affiliate of the National Association of Counsel for Children,"National Association of Counsel for Children, Los Angeles Affiliate",alt(alternate_spelling),99.2,97.7
"National Association of Counsel for Children, Los Angeles Affiliates",1,Los Angeles Affiliate of the National Association of Counsel for Children,"National Association of Counsel for Children, Los Angeles Affiliate",alt(alternate_spelling),99.3,99.3
National Association of Counsel for Children - Los Angeles Affiliate,1,Los Angeles Affiliate of the National Association of Counsel for Children,"National Association of Counsel for Children, Los Angeles Affiliate",alt(alternate_spelling),99.3,97.8
National Association of Counsel for Children (Los Angeles Affiliate),1,Los Angeles Affiliate of the National Association of Counsel for Children,"National Association of Counsel for Children, Los Angeles Affiliate",alt(alternate_spelling),100.0,91.9
National Association for Social Workers - California Chapter,1,National Association of Social Workers - California Chapter,"National Association for Social Workers, California Chapter",alt(alternate_spelling),99.2,97.5
"National Association Uniformed Services, San Joaquin Valley Chapter",1,"National Association for Uniformed Services, San Joaquin Valley Chapter","National Association for Uniformed Services, San Joaquin Valley Chapter",canonical,97.1,100.0
"National Association Counsel for Children, Los Angeles Affiliate",1,Los Angeles Affiliate of the National Association of Counsel for Children,"National Association of Counsel for Children, Los Angeles Affiliate",alt(alternate_spelling),97.7,100.0
"National Assn. of Social Workers, CA Chapter",1,National Assn of Social Workers- CA Chapter,National Assn of Social Workers- CA Chapter,canonical,98.9,96.6
National Asian Pacific American Women's Forum - San Diego,1,National Asian Pacific American Women's Forum San Diego,National Asian Pacific American Women's Forum San Diego,canonical,98.2,100.0
"National Alliance on Mental Illness, Orange County National Alliance on",1,NATIONAL ALLIANCE ON MENTAL ILLNESS,"National Alliance on Mental Illness, Orange County National Alliance",alt(alternate_spelling),97.8,100.0
National Alliance on Mental Illness - Santa Clara County,1,NATIONAL ALLIANCE ON MENTAL ILLNESS,"National Alliance on Mental Illness, Santa Clara County",alt(chapter),99.1,97.3
"National Alliance of Mental Illness, Santa Clara County",1,NATIONAL ALLIANCE ON MENTAL ILLNESS,"National Alliance on Mental Illness, Santa Clara County",alt(chapter),98.2,98.2
National Alliance of Mental Illness - California (NAMI-CA),1,NATIONAL ALLIANCE ON MENTAL ILLNESS,National Alliance on Mental Illness - California (NAMI-CA),alt(chapter),98.2,98.3
"National Alliance for the Mentally Ill, San Gabriel Valley",1,NATIONAL ALLIANCE ON MENTAL ILLNESS,National Alliance for the Mentally Ill - San Gabriel Valley,alt(chapter),99.1,97.4
"National Alliance for the Mentally Ill, Sacramento",1,NATIONAL ALLIANCE ON MENTAL ILLNESS,National Alliance for the Mentally Ill/Sacramento,alt(alternate_spelling),99.0,97.0
National Alliance for the Mentally Ill - Nevada County,1,NATIONAL ALLIANCE ON MENTAL ILLNESS,National Alliance for the Mentally Ill Nevada County,alt(chapter),98.1,100.0
National Alliance for Model/ State Drug Laws,1,National Alliance for Model State Drug Laws,National Alliance for Model State Drug Laws,canonical,98.9,98.9
Napa/Solano Central Labor Council,1,Napa Solano Central Labor Council,Napa Solano Central Labor Council,canonical,100.0,97.0
Napa-Solano Cattlemen's Association,1,Napa/Solano Cattlemen's Association,Napa/Solano Cattlemen's Association,canonical,100.0,97.1
Napa-Solano Building and Construction Trades Council,1,Napa/Solano Building and Construction Trades Council,Napa/Solano Building and Construction Trades Council,canonical,100.0,98.1
Napa-Solano Building Trades Council,1,Napa Solano Building Trades Council,Napa Solano Building Trades Council,canonical,100.0,97.1
Napa- Solano Counties Building and Construction Trades Council,1,Napa-Solano Counties Building & Construction Trades Council,Napa-Solano Counties Building and Construction Trades Council,alt(alternate_spelling),99.2,99.2
Napa Recycling &Waste Services,1,Napa Recycling and Waste Services,Napa Recycling & Waste Services,alt(alternate_spelling),98.4,98.4
Napa County Office of Sheriff/Coroner,1,Napa County Office of Sheriff-Coroner,Napa County Office of Sheriff-Coroner,canonical,100.0,97.3
Napa County District Attorneyos office,1,District Attorneys,Napa County District Attorney's Office,alt(chapter),97.4,94.7
Napa County District Attorneyos Office,1,District Attorneys,Napa County District Attorney's Office,alt(chapter),97.4,97.4
Nami-california,1,NAMI California,NAMI California,canonical,100.0,60.0
Nami-California,1,NAMI California,NAMI California,canonical,100.0,66.7
NEXTGEN California,1,Nexgen California,Nexgen California,canonical,97.1,74.1
NC Broadcast and Network Operations,1,NBC Broadcast and Network Operations,NBC Broadcast and Network Operations,canonical,98.6,98.6
"NASW, California Chapter",1,National Association of Social Workers - California Chapter,NASW - California Chapter,alt(?),98.0,93.9
NARAL Pro- Choice America,1,National Abortion Rights Action League,NARAL Pro-Choice America,alt(alternate_spelling),98.0,81.6
NAMI- Santa Clara County,1,Nami Santa Clara County,Nami Santa Clara County,canonical,97.9,87.8
NAMI - Northern Santa Barbara County,1,NAMI Northern Santa Barbara County,NAMI Northern Santa Barbara County,canonical,97.1,100.0
NAMI - Los Angeles County Coordinating Council,1,NAMI Los Angeles County Council,NAMI Los Angeles County Coordinating Council,alt(alternate_spelling),97.8,100.0
NAMI - California Consumer Council,1,NAMI California Consumer Council,NAMI California Consumer Council,canonical,97.0,100.0
"NAIOP of California, The Commercial Real Estate Development Association",1,NAIOP OF CALIFORNIA,NAIOP of California - the Commercial Real Estate Development Association,alt(alternate_spelling),99.3,96.5
NAIOP Commercial Real Estate Development Association,1,NAIOP - Commercial Real Estate Development Association,NAIOP-Commercial Real Estate Development Association,alt(alternate_spelling),100.0,88.5
NAIOP -Commercial Real Estate Development Association,1,NAIOP - Commercial Real Estate Development Association,NAIOP - Commercial Real Estate Development Association,canonical,99.1,99.1
Musicians Union Local 6 (American Federation of Musicians),1,"Musicians Union, Local No. 6","Musicians Union, Local 6, American Federation of Musicians",alt(chapter),99.1,83.0
"Municipal Court, El Cahon Judicial District",1,"Municipal Court, El Cajon Judicial District","Municipal Court, El Cajon Judicial District",canonical,97.7,97.7
Municipal Court of California -: Los Angeles Judicial District,1,"Municipal Court of California, Los Angeles Judicial District","Municipal Court of California, Los Angeles Judicial District",canonical,98.4,96.7
Municipal Court Judges' Ass'n of Los Angeles County,1,Municipal Court Judges Association of Los Angeles,"Municipal Court Judges' Ass., Los Angeles County",alt(alternate_spelling),97.0,93.3
Mpa - the Association of Magazine Media,1,MPA the Association of Magazine Media,MPA the Association of Magazine Media,canonical,97.4,94.3
Movement Generation: Justice & Ecology Project,1,Movement Generation Justice & Ecology Project,Movement Generation Justice & Ecology Project,canonical,98.9,98.9
Mountain View/Los Altos Union High School District,1,Mountain View Los Altos Union High School District,Mountain View Los Altos Union High School District,canonical,100.0,92.0
Mountain View - Los Altos Union High School District,1,Mountain View Los Altos Union High School District,Mountain View Los Altos Union High School District,canonical,98.0,100.0
Motion Picture Association of America (California Group),1,MOTION PICTURE ASSOCIATION OF AMERICA,Motion Picture Association of America California Group,alt(alternate_spelling),99.1,98.2
Motion Picture Association of America (California,1,MOTION PICTURE ASSOCIATION OF AMERICA,Motion Picture Association of America (California),alt(alternate_spelling),100.0,99.0
Mothers Against Drunk Driving (California),1,Mothers Against Drunk Driving California State Organization,Mothers Against Drunk Driving California,alt(chapter),98.8,97.6
Morro Bay Commerical Fisherman's Organization,1,Morro Bay Commercial Fisherman's Organization,Morro Bay Commercial Fisherman's Organization,canonical,97.8,97.8
Montery County Board of Supervisors,1,COUNTY OF MONTEREY BOARD OF SUPERVISORS,"Monterey County, Board of Supervisors",alt(alternate_spelling),97.2,97.2
"Monterey Bay Central Labor Council, AFL- CIO",1,"Monterey Bay Central Labor Council, AFL-CIO Napa-Solano Labor Council, AFL-CIO","Monterey Bay Central Labor Council, Afl-cio",alt(alternate_spelling),98.9,89.7
"Monterey Bay Central Labor Council, (AFL-CIO)",1,"Monterey Bay Central Labor Council, AFL-CIO Napa-Solano Labor Council, AFL-CIO","Monterey Bay Central Labor Council, Afl-cio",alt(alternate_spelling),98.9,89.7
Monterey -Salinas Transit,1,Monterey Salinas Transit,Monterey Salinas Transit,canonical,98.0,98.0
Moms Demand for Gun Sense in America (San Francisco Bay Area Chapter),1,Moms Demand for Gun Sense in America - San Francisco Bay Area Chapter,Moms Demand for Gun Sense in America - San Francisco Bay Area Chapter,canonical,99.3,92.8
Moms Demand Action for Gun Sense in America (San Francisco Bay Area Chapter),1,Moms Demand Action for Gun Sense in America,"Moms Demand Action for Gun Sense in America, San Francisco Bay Area Chapter",alt(chapter),100.0,92.7
Mission: Readiness Military Leaders for Kids,1,Mission: Readiness-Military Leaders for Kids,Mission: Readiness-Military Leaders for Kids,canonical,100.0,79.5
Mission: Readiness - Military Leaders for Kids,1,Mission Readiness - Military Leaders for Kids,Mission Readiness - Military Leaders for Kids,canonical,98.9,98.9
Mission: Readiness - Military Leaders For Kids,1,Mission Readiness - Military Leaders for Kids,Mission Readiness - Military Leaders for Kids,canonical,98.9,90.1
Mission: Pedestrian,1,Mission Pedestrian,Mission Pedestrian,canonical,97.3,97.3
Mission: Compassion,1,Mission Compassion,Mission Compassion,canonical,97.3,97.3
Mission Peak Unitarian Univeralist Congregation,1,Mission Peak Unitarian Universalist Congregation,Mission Peak Unitarian Universalist Congregation,canonical,98.9,98.9
Mira Vista United Church of Christ (El Cerrito),1,"Mira Vista United Church of Christ, El Cerrito","Mira Vista United Church of Christ, El Cerrito",canonical,100.0,90.3
"Mimi Silbert, Delancey Street Foundation",1,"Mimi Silbert, Delancy Street Foundation","Mimi Silbert, Delancy Street Foundation",canonical,98.7,98.7
Million Mom March (Orange County Chapter),1,Orange County Chapter of the Million Mom March,Million Mom March Orange County Chapter,alt(alternate_spelling),98.7,80.0
Military Order of the Purple Heart - Department of California,1,DEPARTMENT OF CALIFORNIA MILITARY ORDER OF THE PURPLE HEART,"Military Order of the Purple Heart, Department of California",alt(alternate_spelling),99.2,97.4
"Military Officers Association of California, California Council of Chapters",1,Military Officers Association of America,Military Officers Association of California - California Council of Chapters,alt(chapter),99.3,98.4
"Military Officers Association of America, California-Council",1,Military Officers Association of America,"Military Officers Association of America, California Council",alt(chapter),100.0,98.3
Midpeninsula Regional Open Space District (Midpen),1,Midpeninusla Regional Open Space District,Midpeninsula Regional Open Space District (Mid Pen),alt(alternate_spelling),99.0,97.0
Mid-state Solid Waste & Recycling,1,Mid State Solid Waste & Recycling,Mid State Solid Waste & Recycling,canonical,100.0,93.9
Mid-peninsula Citizens for Fair Housing,1,Mid Peninsula Citizens for Fair Housing,Mid Peninsula Citizens for Fair Housing,canonical,100.0,94.9
Mid-State Solid Waste & Recycling,1,Mid State Solid Waste & Recycling,Mid State Solid Waste & Recycling,canonical,100.0,97.0
Mid-Peninsula Open Space District,1,Midpeninsula Open Space District,Midpeninsula Open Space District,canonical,98.5,95.4
Mid-Peninsula Citizens for Fair Housing,1,Mid Peninsula Citizens for Fair Housing,Mid Peninsula Citizens for Fair Housing,canonical,100.0,97.4
Michael Feuer - Los Angeles City Attorney,1,LOS ANGELES CITY ATTORNEY'S OFFICE,"Michael Feuer, Los Angeles City Attorney",alt(alternate_spelling),98.8,96.3
Mexican-American Legal Defense and Ed Fund [Maldef,1,Mexican-American Legal Defense and Ed Fund [Maldef],Mexican-American Legal Defense and Ed Fund [Maldef],canonical,100.0,99.0
Mexican-American Legal Defense and Ed Fund (MALDEF),1,Mexican-American Legal Defense and Ed Fund [Maldef],Mexican-American Legal Defense and Ed Fund [Maldef],canonical,100.0,90.3
Mexican-American Legal Defense Fund,1,Mexican/American Legal Defense Fund,Mexican/American Legal Defense Fund,canonical,100.0,97.1
Mexican-American Bar Association of Los Angeles County,1,Mexican American Bar Association of Los Angeles County,Mexican American Bar Association of Los Angeles County,canonical,100.0,88.9
"Mexican American Legal Defense and Educational Fund, MALDEF",1,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND,Mexican American Legal Defense and Educational Fund (MALDEF),alt(alternate_spelling),100.0,89.1
Mexican American Legal Defense and Educational Fund [MALDEF,1,MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND,Mexican American Legal Defense and Educational Fund (MALDEF),alt(alternate_spelling),100.0,97.5
Merritt Construction Inc,1,Merrit Construction Inc,Merrit Construction Inc,canonical,97.9,97.9
Mercy San Juan Medical Center (Carmichael),1,Mercy San Juan Medical Center (Dignity Health),"Mercy San Juan Medical Center, Carmichael",alt(alternate_spelling),100.0,96.4
Mercy Hospital (CHW),1,Mercy Hospital CHW,Mercy Hospital CHW,canonical,97.3,94.7
Mental Health America Los Angeles,1,Mental Health of America of Los Angeles,Mental Health America - Los Angeles,alt(alternate_spelling),97.1,100.0
Mellssa Joan Hart,1,Mellissa Joan Hart,Mellissa Joan Hart,canonical,97.1,97.1
"Media Guild of the West, NewsGuild-CWA Local 39213",1,"Media Guild of the West, TheNewsGuild-CWA","Media Guild of the West, TheNewsGuild-CWA Local 39213",alt(chapter),97.1,97.1
"Media Guild of The West, NewsGuild-CWA Local 39213",1,"Media Guild of the West, TheNewsGuild-CWA","Media Guild of the West, TheNewsGuild-CWA Local 39213",alt(chapter),97.1,95.1
Mazon - A Jewish Response to Hunger,1,MAZON A Jewish Response to Hunger,MAZON A Jewish Response to Hunger,canonical,97.1,90.0
"Mayor's Office of Community Development, City and County: of San Francisco",1,"Mayor's Office of Community Development, City and County of San Francisco","Mayor's Office of Community Development, City and County of San Francisco",canonical,99.3,99.3
Matthew Eash (San Francisco),1,"Matthew Eash, San Francisco","Matthew Eash, San Francisco",canonical,100.0,80.0
Matrix (Parent Network and Resource Center),1,Matrix Parent Network and Resource Center,Matrix Parent Network and Resource Center,canonical,98.8,83.3
Maternal Outreach Management Systems,1,Maternal Outreach Management System,Maternal Outreach Management System,canonical,98.6,98.6
"Martin Tucker, Senior Assemblymember",1,"Martin Tucker, Senior Assembly Member","Martin Tucker, Senior Assembly Member",canonical,98.6,95.9
"Martin Operating, Inc",1,"Marin Operating, Inc","Marin Operating, Inc",canonical,97.6,97.6
Marshallese Youth of Orange County (MYOC),1,MARSHALLESE YOUTH OF ORANGE COUNTY,Marshallese Youth of Orange County Myoc,alt(alternate_spelling),98.7,93.2
Mark Twain St. Joseph's Hospital (San Andreas),1,"Mark Twain St. Joseph's Hospital, San Andreas","Mark Twain St. Joseph's Hospital, San Andreas",canonical,100.0,87.9
Marin/Sonoma - Mosquito and Vector Control District,1,Marin/Sonoma Mosquito and Vector Control District,Marin/Sonoma Mosquito and Vector Control District,canonical,98.0,100.0
Marin County Treasurer/Tax Collector,1,Marin County Treasurer-Tax Collector,Marin County Treasurer-Tax Collector,canonical,100.0,97.2
Marin County Hazardous and Solid Waste Management Joint: Powers Authority,1,Marin County Hazardous and Solid Waste Management Joint Powers Authority,Marin County Hazardous and Solid Waste Management Joint Powers Authority,canonical,99.3,99.3
Marin County Hazardous & Solid Waste Management: Joint Powers Authority,1,Marin County Hazardous and Solid Waste Management Joint Powers Authority,Marin County Hazardous & Solid Waste Management Joint Powers Authority,alt(alternate_spelling),99.3,99.3
Marin County Hazardous & Solid Waste Management Joint: Powers Authority,1,Marin County Hazardous and Solid Waste Management Joint Powers Authority,Marin County Hazardous & Solid Waste Management Joint Powers Authority,alt(alternate_spelling),99.3,99.3
Marge Atkinson (Councilmember,1,Marge Atkinson (Councilmember),Marge Atkinson (Councilmember),canonical,100.0,98.3
March For Our Lives-California,1,March for Our Lives,March For Our Lives California,alt(chapter),100.0,80.0
Many Mansions - Thousand Oaks,1,"Many Mansions, Thousand Oaks","Many Mansions, Thousand Oaks",canonical,98.2,94.7
Make-Up Artists and Hair Stylists Guild Local 706,1,Make-Up Artists and Hair Stylist Guild,"Make-Up Artists and Hair Stylist Guild, Local 706",alt(chapter),98.0,98.0
Madres del Este de Los Angeles - Santa Isabel,1,Madres Del Este De Los Angeles (Madres),Madres del Este de Los Angeles Santa Isabel,alt(chapter),97.7,100.0
Madres Del este De Los Angeles - Santa Isabel,1,Madres Del Este De Los Angeles (Madres),Madres del Este de Los Angeles Santa Isabel,alt(chapter),97.7,84.1
Madera Probation Peace Officer Association,1,Madera Probation Peace Officers Association,Madera Probation Peace Officers Association,canonical,98.8,98.8
Madera County Community Action Agency-Victim Services,1,"Madera County Community Action Agency, Inc., Victim Services","Madera County Community Action Agency, Victim Services",alt(alternate_spelling),99.1,97.2
Madera County Community Action Agency - Victim Services,1,"Madera County Community Action Agency, Inc., Victim Services","Madera County Community Action Agency, Victim Services",alt(alternate_spelling),99.1,97.2
MPA - the Association of Magazine Media,1,MPA the Association of Magazine Media,MPA the Association of Magazine Media,canonical,97.4,100.0
MOVE (Men Overcoming Violence),1,Move - Men Overcoming Violence,Move - Men Overcoming Violence,canonical,98.3,83.3
MOMS: Making Our Milk Safe,1,Moms Making Our Milk Safe,Moms Making Our Milk Safe,canonical,98.0,88.9
MOMS (Making our Milk Safe),1,Moms Making Our Milk Safe,Moms Making Our Milk Safe,canonical,98.0,73.1
MCIWorldCom),1,MCIWorld Com,MCIWorldCom,alt(alternate_spelling),100.0,95.7
MALDEF - Mexican American Legal Defense and Educational Fund,1,"MALDEF, Mexican American Legal Defense and Educational Fund","MALDEF, Mexican American Legal Defense and Educational Fund",canonical,99.2,97.5
MALDEF (Mexican American Legal Defense and Educational Fund),1,"MALDEF, Mexican American Legal Defense and Educational Fund","MALDEF, Mexican American Legal Defense and Educational Fund",canonical,100.0,84.0
M& T Chico Ranch,1,M & T Chico Ranch,M & T Chico Ranch,canonical,97.0,90.9
Lytton Rancheria (Lytton Band of Pomo Indians),1,"Lytton Rancheria, Lytton Band of Pomo Indians","Lytton Rancheria, Lytton Band of Pomo Indians",canonical,100.0,88.1
"Lymi, INC. (dba Reformation)",1,"Lymi, Inc. dba Reformation","Lymi, Inc. dba Reformation",canonical,98.1,74.1
Lutheran Office of public Policy - California,1,Lutheran Office of Pubic Policy - California,Lutheran Office of Pubic Policy - California,canonical,98.9,96.6
Lutheran Office of Public Policy--California,1,LUTHERAN OFFICE OF PUBLIC POLICY,"Lutheran Office Of Public Policy, California",alt(chapter),100.0,79.5
Lutheran Office of Public Policy − California,1,Lutheran Office of Pubic Policy - California,Lutheran Office of Pubic Policy - California,canonical,98.9,94.4
Lutheran Office of Public Policy - CA,1,Lutheran Office of Public Polity - CA,Lutheran Office of Public Polity - CA,canonical,97.3,97.3
Lucile Packard Children's Hospital - Stanford Children's Health,1,Lucile Packard Children's Hospital at Stanford,Lucile Packard Children's Hospital Stanford Children's Health,alt(alternate_spelling),98.4,100.0
Loyola Marymount University - Center for Equity for English Learners,1,Loyola Marymount University,Loyola Marymount University Center for Equity for English Learners,alt(chapter),98.5,100.0
Low Income Families' Empowerment through Education,1,Low-Income Families Empowerment Through Education,Low-Income Families Empowerment Through Education,canonical,99.0,88.9
Los Gatos Chief of Police,1,City of Los Gatos Police Department,Los Gatos/Chief of Police,alt(alternate_spelling),100.0,76.0
Los Angles Area Chamber of Commerce,1,Los Angeles Area Chambers of Commerce,Los Angeles Area Chambers of Commerce,canonical,97.2,97.2
Los Angels County Professional Peace Officers Ass'n,1,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Los Angeles County Professional Peace Officers Assn,alt(alternate_spelling),98.0,98.0
Los Angeles/Orange Counties Building and Construction: Trades Council,1,Los Angeles/Orange Counties Building and Construction Trades Council,Los Angeles/Orange Counties Building and Construction Trades Council,canonical,99.3,99.3
Los Angeles/Orange Counties Building and Construction Trade Council,1,Los Angeles/Orange Counties Building and Construction Trades Council,Los Angeles/Orange Counties Building and Construction Trades Council,canonical,99.3,99.3
Los Angeles area Chamber of Commerce,1,Los Angeles Area Chambers of Commerce,Los Angeles Area Chambers of Commerce,canonical,98.6,84.9
Los Angeles Police Protective League (League),1,LOS ANGELES POLICE PROTECTIVE LEAGUE,"Los Angeles Police Protective League (""League"")",alt(alternate_spelling),98.9,97.8
Los Angeles Metropolitan Hispanic Chamber of Commerce,1,Los Angeles Metropolitan Hispanic Chambers of Commerce,Los Angeles Metropolitan Hispanic Chambers of Commerce,canonical,99.1,99.1
Los Angeles District Attorneyos Association,1,District Attorneys Association (CDAA),Los Angeles District Attorneys Association,alt(alternate_spelling),98.8,98.8
Los Angeles County: District Attorney,1,District Attorneys,Los Angeles County District Attorney,alt(chapter),98.6,98.6
Los Angeles County/Department of Health Services,1,Department of Health Services - County of Los Angeles,Los Angeles County Department of Health Services,alt(alternate_spelling),100.0,97.9
Los Angeles County Superintendents of Schools,1,LOS ANGELES COUNTY OFFICE OF EDUCATION,Los Angeles County Superintendent of Schools,alt(alternate_spelling),98.9,98.9
Los Angeles County Solid Waste Management Committee/integrated Waste Management Task-Force,1,Los Angeles County Solid Waste Management Committee,Los Angeles County Solid Waste Management Committee/integrated Waste Management Task Force,alt(alternate_spelling),100.0,93.2
Los Angeles County Solid Waste Management Committee/Integrated Waste Management- Taskforce,1,Los Angeles County Solid Waste Management Committee,Los Angeles County Solid Waste Management Committee/Integrated Waste Management Taskforce,alt(alternate_spelling),99.4,100.0
"Los Angeles County Solid Waste Management Committee, Integrated Waste",1,Los Angeles County Solid Waste Management Committee,Los Angeles County Solid Waste Management Committee/ Integrated Waste,alt(alternate_spelling),100.0,98.4
Los Angeles County Solid Waste Management Committee / Integrated waste,1,Los Angeles County Solid Waste Management Committee,Los Angeles County Solid Waste Management Committee/ Integrated Waste,alt(alternate_spelling),99.3,93.2
Los Angeles County Solid Waste Management Committee / Integrated Waste,1,Los Angeles County Solid Waste Management Committee,Los Angeles County Solid Waste Management Committee/ Integrated Waste,alt(alternate_spelling),99.3,97.6
Los Angeles County Sheriffs' Office,1,Los Angles County Sheriffs Office,Los Angles County Sheriffs Office,canonical,97.1,97.1
Los Angeles County Sheriffs' Department California Public Parking Association Police Departments of the Cities of Alhambra,1,Los Angeles County Sheriffs' Department California Public Parking Association Police Departments of the City of Alhambra,Los Angeles County Sheriffs' Department California Public Parking Association Police Departments of the City of Alhambra,canonical,98.3,98.3
Los Angeles County Sheriff 's Department,1,Los Angeles County Sheriff's Department,Los Angeles County Sheriff's Department,canonical,98.7,93.7
Los Angeles County Fair (Fairplex),1,"Los Angeles County Fair, Fairplex","Los Angeles County Fair, Fairplex",canonical,100.0,83.6
"Los Angeles County Business Federation, Bizfed",1,"BizFed, the Los Angeles County Business Federation",Los Angeles County Business Federation (BIZFED),alt(alternate_spelling),100.0,86.0
"Los Angeles County Business Federation, BizFed",1,"BizFed, the Los Angeles County Business Federation",Los Angeles County Business Federation (BIZFED),alt(alternate_spelling),100.0,88.2
Los Angeles County Business Federation -BizFed,1,"BizFed, the Los Angeles County Business Federation",Los Angeles County Business Federation (BIZFED),alt(alternate_spelling),100.0,90.5
Los Angeles County Bar Association -- Appellate Courts Section,1,LOS ANGELES COUNTY BAR ASSOCIATION,"Los Angeles County Bar Association, Appellate Courts Section",alt(chapter),98.4,96.7
Los Angeles County Bar Association (litigation section),1,LOS ANGELES COUNTY BAR ASSOCIATION,Los Angeles County Bar Association Litigation Section,alt(chapter),99.1,94.4
Los Angeles County - Inter-Agency Council on Child Abuse and Neglect,1,Los Angeles County Inter-Agency Council on Child,Los Angles County Inter-Agency Council on Child Abuse and Neglect,alt(alternate_spelling),97.7,97.7
Los Angeles County - Board of Supervisors,1,Los Angeles County Board of Supervisors,Los Angeles County Board of Supervisors,canonical,97.5,100.0
"Los Angeles Community College District, District Mathematics Council",1,Los Angeles Community College District: District Mathematics Council,Los Angeles Community College District: District Mathematics Council,canonical,100.0,98.5
"Los Angeles City Council Member, Ret., Nick Pacheco",1,"Los Angeles City Councilmember, Ret., Nick Pacheco","Los Angeles City Councilmember, Ret., Nick Pacheco",canonical,99.0,97.0
Los Angeles Chapter of the National Organization for Women,1,Los Angeles Chapter of the National Organization of Women,Los Angeles Chapter of the National Organization of Women,canonical,97.4,100.0
Los Angeles Chapter of the National Electrical: Contractors Association,1,Los Angeles Chapter of the National Electrical Contractors Association,Los Angeles Chapter of the National Electrical Contractors Association,canonical,99.3,99.3
"Los Angeles Area, Chamber of Commerce",1,Los Angeles Area Chambers of Commerce,Los Angeles Area Chambers of Commerce,canonical,97.3,97.3
"Los Angeles Alliance for a New Economy, (LAANE)",1,LAANE (LOS ANGELES),Los Angeles Alliance for a New Economy LAANE,alt(alternate_spelling),97.8,83.5
Los Angeles Affiliates of the National Association of Counsel for Children,1,Los Angeles Affiliate of the National Association of Counsel for Children,Los Angeles Affiliate of the National Association of Counsel for Children,canonical,99.3,99.3
Los Angeles Affiliate of the National Association of Council for Children,1,Los Angeles Affiliate of the National Association of Counsel for Children,Los Angeles Affiliate of the National Association of Counsel for Children,canonical,97.3,97.1
Los Angeles Affiliate,1,Los Angeles Affiliates,Los Angeles Affiliates,canonical,97.7,97.7
Los Angele County Police Chiefs Association,1,Los Angeles County Association of Chiefs of Police,Los Angeles County Police Chiefs Association,alt(alternate_spelling),98.9,98.9
Long-Term Care Ombudsman - San Luis Obispo County,1,Long-Term Care Ombudsman Services of San Luis Obispo County,"Long-Term Care Ombudsman, San Luis Obispo County",alt(alternate_spelling),99.0,96.9
"Long Each Fire Fighters, Local 372",1,Long Beach Fire Fighers,"Long Beach Fire Fighers, Local 372",alt(chapter),97.1,94.1
Long Beach Senior Citizens' Advisory Commission,1,Long Beach Senior Citizen Advisory Commission,Long Beach Senior Citizen Advisory Commission,canonical,97.8,97.8
