leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
International Alliance of Theatrical Stage Employees and SB Moving Picture Machine operators,1,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES,International Alliance of Theatrical Stage Employees and Moving Picture,alt(alternate_spelling),95.0,100.0
International Alliance of Theatrical Stage Employees and Moving Picture Machine operators,1,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES,International Alliance of Theatrical Stage Employees and Moving Picture,alt(alternate_spelling),95.0,100.0
International Alliance of Theatrical Stage Employees Local 728,1,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES,International Alliance of Theatrical Stage Employees Local,alt(alternate_spelling),96.7,100.0
International Alliance of Theatrical Stage Employees Local 16,1,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES,International Alliance of Theatrical Stage Employees Local,alt(alternate_spelling),97.5,100.0
International Alliance of Theatrical Stage Employees (IATSE) Local 80,1,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES,"International Alliance of Theatrical Stage Employees (IATSE), Local 16",alt(chapter),96.4,96.4
International Alliance Theatrical Stage Employees Local 33,1,INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES,International Alliance Theatrical Stage Employees,alt(alternate_spelling),95.0,100.0
"International Airport, Ventura County Transportation Commission",1,"International Airport, Ventura County Transportation","International Airport, Ventura County Transportation",canonical,95.0,100.0
International - Sponsor,1,International,International,canonical,90.0,100.0
Internal Medicine,1,Animal Internal Medicine,Animal Internal Medicine,canonical,95.0,100.0
Interinsurance Exchange of the Automobile Club of Southern California,1,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,"Automobile Club of Southern California, California",alt(alternate_spelling),95.0,86.4
Intergovernmental Affairs,1,Office of Intergovernmental Affairs,Office of Intergovernmental Affairs,canonical,95.0,100.0
Interfaith Worker Justice - San Diego,1,Interfaith Worker Justice San Diego,Interfaith Worker Justice San Diego,canonical,97.2,100.0
"Interfaith Ministries, Modesto",1,"Interfaith Ministries - Modesto, CA","Interfaith Ministries - Modesto, CA",canonical,95.0,89.2
"Interfaith Ministries (Modesto, CA)",1,"Interfaith Ministries - Modesto, CA","Interfaith Ministries - Modesto, CA",canonical,98.6,85.7
"Interfaith Council on Religions, Race, Economic and Social Justice",1,"Interfaith Council on Religions, Race, Economic and Social","Interfaith Council on Religions, Race, Economic and Social",canonical,95.0,100.0
Interfaith Communities United for Justice and,1,Interfaith Communities United for Justice,Interfaith Communities United for Justice,canonical,95.3,100.0
"Interface Services, Carlsbad Corporation for Supportive Housing, Oakland Council of Churches of Santa Clara County",1,Churches of Santa Clara County,Churches of Santa Clara County,canonical,90.0,100.0
"Interest: National Parks Service expresses ""very",1,National Parks,National Parks,canonical,90.0,100.0
Interest,1,Pinterest,Pinterest,canonical,94.1,82.4
"Intercool Inc, Institute of Heating and Air Conditioning Industries, Inc",1,Institute of Heating and Air Conditioning Industries,Institute of Heating and Air Conditioning Industries,canonical,95.0,88.2
Intercool Inc,1,Intercool,Intercool,canonical,95.0,100.0
Interact: Advocates for Intersex Youth,1,Interact Advocates for Intersex Youth,Interact Advocates for Intersex Youth,canonical,98.7,98.7
"Inter-Regional Partnership, Association of Bay",1,Inter-Regional Partnership,Inter-Regional Partnership,canonical,90.0,72.2
Inter-Regional Partnership (counties of San,1,Inter-Regional Partnership,Inter-Regional Partnership,canonical,90.0,100.0
Inter-Regional Partnership (County of San Joaquin,1,Inter-Regional Partnership,Inter-Regional Partnership (County of San Joaquin),alt(chapter),100.0,99.0
Inter-Insurance Exchange of the Automobile Club of Southern,1,Interinsurance Exchange of the Automobile Club of Southern,Interinsurance Exchange of the Automobile Club of Southern,canonical,99.1,97.3
Inter-Agency on Child Abuse and Neglect,1,Inter Agency on Child Abuse and Neglect,Inter Agency on Child Abuse and Neglect,canonical,100.0,84.6
"Inter-Agency Council on Child Abuse, Los Angeles",1,INTER-AGENCY COUNCIL ON CHILD ABUSE AND NEGLECT,Inter-Agency Council on Child Abuse and Neglect (County of Los Angeles),alt(chapter),95.0,81.5
Inter-Agency Council on Child Abuse and Neglect: The Honorable Terry Friedman,1,"Inter Agency Council on Child Abuse and Neglect, Los","Inter Agency Council on Child Abuse and Neglect, Los",canonical,91.1,66.7
"Inter-Agency Council on Child Abuse and Neglect, Los Angeles County",1,Angeles County Inter-Agency Council on Child Abuse and Neglect,Angeles County Inter-Agency Council on Child Abuse and Neglect,canonical,95.0,96.1
Inter-Agency Council on Child Abuse,1,Interagency Council on Child Abuse,Interagency Council on Child Abuse,canonical,98.6,95.7
Inter-Agency Council on,1,Inter-Agency Council,Inter-Agency Council,canonical,95.0,100.0
Intellectual Property Section of the California State Bar Association,1,Intellectual Property Section of the California,Intellectual Property Section of the California,canonical,95.0,100.0
Intel Corporation - Co-sponsor,1,Intel,Intel,canonical,90.0,100.0
Integrative Medicine for the Underserved (4/6/15 version),1,Integrative Medicine for the Underserved,Integrative Medicine for the Underserved,canonical,95.0,100.0
Integrating Medicine and Public Health,1,Integrating Medicine and Public Health Program,Integrating Medicine and Public Health Program,canonical,95.0,100.0
"Integrated Waste Management Board, Cereplast, Inc., Society of the Plastics Industry",1,Integrated Waste,Integrated Waste,canonical,90.0,100.0
"Integrated Healthcare Holdings, Inc. (prior version of bill)",1,"Integrated Healthcare Holdings, Inc","Integrated Healthcare Holdings, Inc",canonical,90.0,93.9
"Integrated Filipino American Veterans of Northern California, Inc",1,Integrated Filipino American Veterans of Northern,Integrated Filipino American Veterans of Northern,canonical,95.0,100.0
Int'l Assoc. for Identification Technologies,1,Identification Technologies,Identification Technologies,canonical,90.0,100.0
"Insurers, and ACIC are neutral",1,ASSOCIATION OF CALIFORNIA INSURANCE COMPANIES,ACIC,alt(alternate_spelling),90.0,100.0
Insurers,1,Alliance of American Insurers (AIA),Alliance of American Insurers (AIA),canonical,90.0,100.0
Insured Retirement Institute (UNREG),1,Insured Retirement Institute,Insured Retirement Institute,canonical,95.0,100.0
Insure the Uninsured Project (prior version),1,Insure the Uninsured Project,Insure the Uninsured Project,canonical,90.0,100.0
"Insure the Uninsured Project (July 9, 2007)",1,Insure the Uninsured Project,Insure the Uninsured Project,canonical,90.0,100.0
Insurance companies have put forward several,1,ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES,Insurance Companies,alt(alternate_spelling),90.0,64.3
Insurance Companies (ACLHIC) says a ten-year exemption from the requirements of the Senior,1,ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES,Companies (ACLHIC),alt(alternate_spelling),90.0,100.0
Insurance Companies (ACLHIC) is concerned that the language,1,ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES,Companies (ACLHIC),alt(alternate_spelling),90.0,100.0
Insurance Commissioner Ricardo Lara/ California Department of Insurance,1,CALIFORNIA DEPARTMENT OF INSURANCE,"Insurance Commissioner Ricardo Lara, the California Department of Insurance",alt(alternate_spelling),97.3,95.2
"Insurance Commissioner Ricardo Lara, in support of the bill",1,CALIFORNIA DEPARTMENT OF INSURANCE,Ricardo Lara,alt(alternate_spelling),90.0,73.7
"Insurance Commissioner Ricardo Lara, California Department of Insurance",1,CALIFORNIA DEPARTMENT OF INSURANCE,"Insurance Commissioner Ricardo Lara, the California Department of Insurance",alt(alternate_spelling),97.3,100.0
Insurance Commissioner Lara/ California Department of Insurance,1,"Insurance Commissioner, California Department of Insurance","Insurance Commissioner, California Department of Insurance",canonical,95.9,93.1
Insurance Commissioner John Garamendi and the Department of Insurance,1,CALIFORNIA DEPARTMENT OF INSURANCE,Garamendi,alt(alternate_spelling),90.0,100.0
Insurance Commissioner John Garamendi - 06/02/03,1,"John Garamendi, Insurance Commissioner","John Garamendi, Insurance Commissioner",canonical,95.0,86.0
Insurance Brokers and Agents of the West (Sponsor -Insurer Participation),1,Insurance Brokers & Agents of the West (IBA West),Insurance Brokers and Agents of the West (IBA West),alt(alternate_spelling),90.5,87.9
"Insurance Association, Union Oil, FMC, Southern",1,Insurance Association,Insurance Association,canonical,90.0,61.8
"Insurance Association, National association of Independent",1,National Association of Independent Insurers Personal Insurance,National Association of Independent Insurers Personal Insurance,canonical,95.0,82.6
Insurance Agents and SB 1229 (Killea) Brokers Legislative Council,1,Insurance Agents and Brokers Legislative Council,Insurance Agents and Brokers Legislative Council,canonical,95.0,100.0
Insurance Agents and Brokers of the West (on the CE provisions of the bill),1,Insurance Brokers & Agents of the West (IBA West),Insurance Brokers and Agents of the West (IBA West),alt(alternate_spelling),90.5,87.9
Insurance Agents and Brokers Legislative Council and an information service company,1,Agents and Brokers,Agents and Brokers,canonical,90.0,100.0
Insurance Agents and Brokers Legislative Council and Compline LLC,1,Insurance Agents and Brokers Legislative Council,Insurance Agents and Brokers Legislative Council,canonical,95.0,100.0
Insurance Agents and Brokers Legislative Council - Sponsor,1,Insurance Agents and Brokers Legislative,Insurance Agents and Brokers Legislative,canonical,95.0,100.0
Insurance Agents and Brokers Legislative Council (ABL) - 04/30/03,1,Insurance Agents & Brokers Legislative Council (ABL),Insurance Agents & Brokers Legislative Council (ABL),canonical,95.0,98.0
Insulation Contractors Assn,1,Contractors,Contractors,canonical,90.0,100.0
"Institute, The Sierra Nevada Alliance, Womens",1,Nevada,Nevada,canonical,90.0,100.0
"Institute, Orange County Business Council, Pajaro Valley Water Management Agency, Public",1,Business Council,Business Council,canonical,90.0,66.7
"Institute, Newman, Aaronson, Vanaman, Attorneys",1,"Newman, Aaronson, Vanaman, Attorneys at Law","Newman, Aaronson, Vanaman, Attorneys at Law",canonical,85.9,91.1
"Institute, Natural Resources Defense Council, San Diego BayKeeper, Santa Clara Valley Audubon",1,Natural Resources,Natural Resources,canonical,90.0,100.0
"Institute, KIDS NETWORK, Los Angeles County",1,Angeles County,Angeles County,canonical,90.0,100.0
"Institute, Greenlining Coaliton, Home Ownership",1,GREENLINING INSTITUTE,Greenlining Institute (Greenlining),alt(chapter),95.0,61.0
"Institute, Clean Water Action, Coalition for",1,CLEAN WATER ACTION,Clean Water Action/Clean Water,alt(alternate_spelling),95.0,62.9
Institute of Scrap Recycling Industries (California Chapters),1,Institute of Scrap Recycling Industries California Chapters,Institute of Scrap Recycling Industries California Chapters,canonical,99.2,98.3
Institute of Governmental Activities (as proposed to be amended),1,Institute of Governmental Activities,Institute of Governmental Activities,canonical,90.0,100.0
Institute of Democratic Education and Culture dba SpeakOut (prior version),1,Institute for Democratic Education and Culture dba SpeakOut,Institute of Democratic Education and Culture dba SpeakOut,alt(alternate_spelling),95.0,100.0
Institute is fortunate to have broad,1,Pacific Institute,Pacific Institute,canonical,85.5,69.2
"Institute for Sustainable Economic, Educational and Environmental Design (I- SEEED)",1,"Institute for Sustainable Economic, Educational and Environmental Design (I)","Institute for Sustainable Economic, Educational and Environmental Design (I)",canonical,95.5,97.3
"Institute for Socioeconomic Justice and Progressive Community Development, Inc",1,Institute for Socio-Economic Justice and Progressive Community Development,"Institute for Socio-Economic Justice and Progressive Community Development, Inc",alt(alternate_spelling),99.4,98.1
"Institute for Socio-Economic Justice and Progressive: Community Development, Inc",1,Institute for Socio-Economic Justice and Progressive Community Development,"Institute for Socio-Economic Justice and Progressive Community Development, Inc",alt(alternate_spelling),99.4,99.4
Institute for Health & Disease Prevention Research at the Keck School of Medicine of the University of Southern California,1,"Keck School of Medicine, University of Southern California",Keck School of Medicine,alt(alternate_spelling),90.0,100.0
"Inspector Ovanessian, San Francisco Police Department",1,Francisco Police,Francisco Police,canonical,90.0,100.0
Inspector General,1,California Inspector General,California Inspector General,canonical,90.0,100.0
"Insolvency Law Committee, State Bar of California",1,Committee of the State Bar of California,"State Bar of California, Committee",alt(alternate_spelling),95.0,79.5
Insolvency Law Committee of the Business Law Section of the,1,"Insolvency Committee, Business Law Section of the State Bar","Insolvency Committee, Business Law Section of the State Bar",canonical,95.0,89.7
"Insolvency Committee, Business Law Section, State Bar of California",1,"Insolvency Committee, Business Law Section of the State Bar","Insolvency Committee, Business Law Section of the State Bar of California",alt(chapter),95.7,96.4
"Insolvency Committee, Business Law Section, State Bar of",1,"Insolvency Committee, Business Law Section of the State Bar","Insolvency Committee, Business Law Section of the State Bar",canonical,95.0,95.7
"Insight Prison Project, a Division of Five Keys Schools and Programs (prior version)",1,"Insight Prison Project, a Division of Five Keys Schools and Programs","Insight Prison Project, a Division of Five Keys Schools and Programs",canonical,95.0,100.0
"Insight Prison Project, Division of Five Keys Schools & Programs",1,"Insight Prison Project, a Division of Five Keys Schools and Programs","Insight Prison Project, a Division of Five Keys Schools and Programs",canonical,95.5,98.4
Insight,1,Applicant Insight,Applicant Insight,canonical,90.0,100.0
Inside,1,From the Inside Out,From the Inside Out,canonical,90.0,100.0
Ins. Peninsula Cosmetology Association,1,"Peninsula Cosmetology Association, Affiliate 37",Peninsula Cosmetology Association,alt(alternate_spelling),95.0,100.0
"Inquilinos Unidos, Los Angeles: JERICHO: A Voice for Justice",1,A Voice for Justice,A Voice for Justice,canonical,90.0,100.0
Innocence Project of Northern California at Santa Clara University School of Law,1,Innocence Project of Northern California at Santa Clara University School,Innocence Project of Northern California at Santa Clara University School,canonical,95.4,100.0
Inner City Law Center (Los Angeles),1,INNER CITY LAW CENTER,"Inner City Law Center, Los Angeles",alt(alternate_spelling),100.0,84.1
Inner City Business Association - Imperial,1,Inner City Business Association,Inner City Business Association,canonical,95.0,100.0
Inner City Bliss,1,Inner City,Inner City,canonical,90.0,100.0
Inner City Advisor Fund Good Jobs,1,Inner City,Inner City,canonical,90.0,100.0
Innavision Preparation Foundation,1,Lion Foundation,Lion Foundation,canonical,86.9,80.0
InnaVision Preparation Foundation,1,Lion Foundation,Lion Foundation,canonical,86.9,80.0
InnVision - San Jose,1,InnVision,"InnVision, San Jose",alt(alternate_spelling),97.4,92.3
"Inlandboatmen's Union of the Pacific (IBU), a sponsor of the bill",1,INTERNATIONAL LONGSHORE AND WAREHOUSE UNION,Inlandboatmen's Union of the Pacific (IBU),alt(chapter),90.0,92.3
"Inland Fair Housing and Mediation Board, Marie M Flannery, President and CEO",1,Fair Housing,Fair Housing,canonical,90.0,100.0
Inland Equity Partnership (prior version),1,Equity,Equity,canonical,90.0,100.0
Inland Empire Utilities Agency Western United Dairymen,1,Dairymen's Cooperative Creamery Association,Dairymen,alt(alternate_spelling),90.0,100.0
Inland Empire Hispanic Chambers of Commerce,1,Hispanic Chambers of Commerce,Hispanic Chambers of Commerce,canonical,95.0,100.0
Inland Empire Film Commissioner,1,Inland Empire Film Commission,Inland Empire Film Commission,canonical,96.7,96.7
Inland Empire Division of the League of California Cities,1,LEAGUE OF CALIFORNIA CITIES,"League of California Cities, California",alt(alternate_spelling),95.0,83.3
Inland Empire Division (Member Cities: Chino,1,Inland Empire Division (Member Cities: Chino),Inland Empire Division (Member Cities: Chino),canonical,100.0,98.9
Inland Empire Center for Entrepreneurship at Cal State University San Bernardino,1,Inland Empire Center for Entrepreneurship at California State University,Inland Empire Center for Entrepreneurship at Cal State University San,alt(alternate_spelling),95.0,100.0
Inland Counties Stonewall Democrats |National Organization for Women,1,Inland Counties,Inland Counties,canonical,90.0,100.0
Inland Boatsman Union,1,Inland Boatmen's Union of the Pacific,Inland Boatman's Union,alt(alternate_spelling),93.0,93.0
"Inland Boatman's Union of the Pacific, Marine Division of the International Longshore and Warehouse Union",1,INTERNATIONAL LONGSHORE AND WAREHOUSE UNION,"Inlandboatman's Union of the Pacific, Marine Division of the International Longshore & Warehouse Union",alt(chapter),97.6,89.5
"Inland Behavioral Health Services, Inc",1,Behavioral Health Services,Behavioral Health Services,canonical,95.0,81.2
Injury,1,Advanced Back Care/Sports Injury Clinic,Advanced Back Care/Sports Injury Clinic,canonical,90.0,100.0
"Initiating Change in Our Neighborhoods, Community Development Department",1,Initiating Change in Our Neighborhoods Community Development Corporation,Initiating Change in Our Neighborhoods Community Development Corporation,canonical,90.3,90.3
Inglewood/South Bay,1,People - Inglewood/South Bay,People - Inglewood/South Bay,canonical,95.0,100.0
Infant of Prague Counselling and Adoption Services,1,Infant of Prague Counseling and Adoption Services,Infant of Prague Counseling and Adoption Services,canonical,99.0,99.0
"Industry, League of California Cities, Los",1,LEAGUE OF CALIFORNIA CITIES,"League of California Cities, California",alt(alternate_spelling),95.0,100.0
"Industry assessment $25,000 annually upon adoption (revenue)",1,Industry Assn,Industry Assn,canonical,86.4,76.2
"Industry Labor Management Committee, Golden",1,Labor Management Committee of the Forest Products Industry,Labor Management Committee,alt(alternate_spelling),90.0,76.2
Industry Business Council and Chamber of Commerce,1,Business Council,Business Council,canonical,90.0,100.0
Industries Association City of |South Coast Air Quality Management,1,Industries,Industries,canonical,90.0,100.0
"Industrial, Technical and Professional Employees Union: ITPEU, AFL-CIO",1,"Industrial, Technical and Professional Employees Union","Industrial, Technical and Professional Employees Union",canonical,95.0,94.1
"Industrial medical Council, State Department of Industrial",1,DEPARTMENT OF INDUSTRIAL RELATIONS,Department of Industrial,alt(alternate_spelling),90.0,100.0
Industrial Manufacturing Council,1,Industry Manufacturing Council,Industry Manufacturing Council,canonical,93.5,93.5
Industrial,1,Able Industrial Products,Able Industrial Products,canonical,90.0,100.0
Indonesian Parrot Project/Project Bird Watch,1,Indonesian Parrot Project,Indonesian Parrot Project,canonical,90.0,81.0
Indivisibles-Sherman Oaks,1,Indivisible,Indivisible,canonical,90.0,61.1
IndivisibleSF,1,Indivisible,Indivisible,canonical,91.7,91.7
Indivisible: South Bay LA,1,Indivisible,Indivisible,canonical,90.0,61.1
Indivisible: San Diego Central (prior version),1,Central,Central,canonical,90.0,100.0
Indivisible: San Diego,1,Diego,Diego,canonical,90.0,100.0
Indivisible: Hillcrest,1,Indivisible,Indivisible,canonical,90.0,66.7
"Indivisible: CA-43, California Green Team, Marin, Napa, Peninsula CA-14, Resistance, Elk Grove CA-07 Committee, San Francisco, Sausalito, South Bay - LA, West Marin",1,"Committee of San Francisco, San Francisco","Committee, San Francisco",alt(alternate_spelling),90.0,73.7
Indivisible29,1,Indivisible,Indivisible,canonical,91.7,91.7
Indivisible-Sherman Oaks,1,Indivisible,Indivisible,canonical,90.0,62.9
Indivisible-43,1,Indivisible,Indivisible,canonical,95.0,88.0
"Indivisible, Yolo",1,Indivisible,Indivisible,canonical,90.0,78.6
"Indivisible, Windsor",1,Indivisible,Indivisible,canonical,90.0,71.0
"Indivisible, Ventura",1,CITY OF VENTURA,Ventura,alt(alternate_spelling),90.0,100.0
"Indivisible, Tehama",1,County of Tehama,Tehama,alt(alternate_spelling),90.0,100.0
"Indivisible, Suffragists",1,Indivisible,Indivisible,canonical,90.0,62.9
"Indivisible, Stanislaus",1,Indivisible,Indivisible,canonical,90.0,64.7
"Indivisible, Sherman Oaks",1,Indivisible,Indivisible,canonical,90.0,61.1
"Indivisible, Sebastopol",1,Indivisible,Indivisible,canonical,90.0,64.7
"Indivisible, Sausalito",1,Indivisible,Indivisible,canonical,90.0,66.7
"Indivisible, Santa Cruz County",1,COUNTY OF SANTA CRUZ,Santa Cruz County,alt(alternate_spelling),90.0,100.0
"Indivisible, San Pedro",1,Indivisible,Indivisible,canonical,90.0,66.7
"Indivisible, San Jose",1,Indivisible,Indivisible,canonical,90.0,68.8
"Indivisible, San Fernando Valley",1,Fernando Valley,Fernando Valley,canonical,90.0,100.0
"Indivisible, San Diego Downtown",1,Diego,Diego,canonical,90.0,100.0
"Indivisible, San Diego Central",1,Central,Central,canonical,90.0,100.0
"Indivisible, San Bernardino",1,Bernardino,Bernardino,canonical,90.0,100.0
"Indivisible, Petaluma",1,Indivisible,Indivisible,canonical,90.0,68.8
"Indivisible, Peninsula",1,Indivisible,Indivisible,canonical,90.0,66.7
"Indivisible, Orchard City",1,Indivisible,Indivisible,canonical,90.0,61.1
"Indivisible, OC 48",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, OC 46",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, North San Diego County",1,COUNTY OF SAN DIEGO,San Diego County,alt(alternate_spelling),90.0,100.0
"Indivisible, Marin",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, Manteca",1,Indivisible,Indivisible,canonical,90.0,71.0
"Indivisible, Los Angeles",1,Indivisible,Indivisible,canonical,90.0,62.9
"Indivisible, Lorin",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, Livermore",1,Livermore Invisible,Livermore Invisible,canonical,90.2,92.7
"Indivisible, Euclid",1,Indivisible,Indivisible,canonical,90.0,73.3
"Indivisible, Elmwood",1,Indivisible,Indivisible,canonical,90.0,71.0
"Indivisible, El Dorado Hills",1,Dorado Business Alliance,Dorado,alt(alternate_spelling),90.0,100.0
"Indivisible, East Bay",1,Indivisble East Bay,Indivisble East Bay,canonical,95.0,95.0
"Indivisible, Colusa County",1,Colusa,Colusa,canonical,90.0,100.0
"Indivisible, CA 7",1,Indivisible,Indivisible,canonical,90.0,78.6
"Indivisible, CA 43",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, CA 39",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, CA 37",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, CA 33",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, CA 3",1,Indivisible,Indivisible,canonical,90.0,78.6
"Indivisible, CA 29",1,Indivisible,Indivisible,canonical,90.0,75.9
"Indivisible, Auburn CA",1,Auburn,Auburn,canonical,90.0,100.0
Indivisible of Sherman Oaks,1,Indivisible,Indivisible,canonical,90.0,100.0
"Indivisible in CA, 52nd District",1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Windsor (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Tri-Valley,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Together We Will Los Gatos,1,Together We Will - Los Gatos,Together We Will - Los Gatos,canonical,95.0,96.3
Indivisible Suffragists Indivisible Ventura Indivisible Westside L.A,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Suffragists (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Stand Strong LA,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible South Los Angeles,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible South Bay- LA,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible South Bay Los Angeles,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible South Bay L.A,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Sf Peninsula and CA-14,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Sebastopol (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Sausalito (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Santa Cruz County (prior version),1,COUNTY OF SANTA CRUZ,Santa Cruz County,alt(alternate_spelling),90.0,100.0
Indivisible Santa Barbara (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible San Pedro (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible San Diego Persist,1,Diego,Diego,canonical,90.0,100.0
Indivisible San Diego Downtown,1,Diego,Diego,canonical,90.0,100.0
Indivisible San Diego - Persist,1,Diego,Diego,canonical,90.0,100.0
Indivisible San Diego (prior version),1,Diego,Diego,canonical,90.0,100.0
Indivisible San Bernardino (prior version),1,Bernardino,Bernardino,canonical,90.0,100.0
Indivisible SF Peninsula and CA-14 (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible SF Peninsula CA-14,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible SF Peninsula & CA-14,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible SF (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Ross Valley (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Riverside (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Resistance San Diego (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible ReSisters Walnut Creek,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible ReSisters Contra Costa County,1,Contra Costa County,Contra Costa County,canonical,90.0,100.0
Indivisible Project (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Petaluma (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Peninsula/CA-14,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Peninsula CA-14,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Orange County,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible OC 48 (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible OC 46 (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Novato,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Northridge - The Resistance,1,"The Resistance - Northridge, Indivisble","The Resistance - Northridge, Indivisble",canonical,93.7,97.4
Indivisible North San Diego County (prior version),1,COUNTY OF SAN DIEGO,San Diego County,alt(alternate_spelling),90.0,100.0
Indivisible North San Diego,1,Diego,Diego,canonical,90.0,100.0
Indivisible North Oakland Resistance (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Normal Heights (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Manteca (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Mader,1,Indivisible,Indivisible,canonical,90.0,100.0
"Indivisible Los Angeles, CA-43",1,Indivisible,Indivisible,canonical,90.0,100.0
"Indivisible Los Angeles, CA - 43",1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Los Angeles (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Lorin (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Ladera,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible LBC,1,Indivisible,Indivisible,canonical,95.0,100.0
Indivisible Kensington,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Hillcrest,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Healdsburg,1,City of Healdsburg,Healdsburg,alt(alternate_spelling),90.0,100.0
Indivisible Euclid (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Elmwood (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible El Dorado Hills (prior version),1,Dorado Business Alliance,Dorado,alt(alternate_spelling),90.0,100.0
Indivisible East Contra Costa County,1,Contra Costa County,Contra Costa County,canonical,90.0,100.0
Indivisible District 46,1,District 4,District 4,canonical,90.0,88.9
Indivisible Colusa County (prior version),1,Colusa,Colusa,canonical,90.0,100.0
Indivisible Chapter Change Begins With ME,1,Change Begins With Me,Change Begins With Me,canonical,90.0,92.3
Indivisible Central Contra Costa County,1,Central,Central,canonical,90.0,100.0
Indivisible CA: Statestrong (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
"Indivisible CA: StateStrong, a coalition of over 80 Indivisible groups",1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible CA: StateStrong - a coalition of the following Indivisible groups,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible CA43,1,Indivisible,Indivisible,canonical,95.0,100.0
Indivisible CA37,1,Indivisible,Indivisible,canonical,95.0,100.0
Indivisible CA33,1,Indivisible,Indivisible,canonical,95.0,100.0
Indivisible CA-78,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible CA-7 (prior version),1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible CA-52/53,1,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible CA-50,1,Indivisible,Indivisible,canonical,90.0,100.0
